Year,County,Sex,Occupation_String,Occode,HISCO_x,Count,HISCO_y,Occode_Desc,HISCO_Desc,complexity
1891,YORKSHIRE WEST RIDING,Male,retired sanitary tube maker,243,72400,1,72740,TUBE MANUFACTURE,Seamless Pipe and Tube Drawer,
1891,WARWICKSHIRE,Male,pin maker,296,83890,14,83990,PIN MAKERS,"Other Blacksmiths, Toolmakers and MachineTool Operators Not Elsewhere Classified",
1891,ESSEX,Female,pupil teacher b c,54,13990,1,13990,SCHOOL SERVICE (PUPIL TEACHERS),Other Teachers,complex
1891,CARMARTHENSHIRE,Male,g w r platelayer,131,97430,1,99910,"PLATELAYER, GANGER, PACKER",Labourer,
1891,HAMPSHIRE,Male,retired dockman,772,99999,1,99999,RETIRED (NOT ARMY OR NAVY),Unspecified worktitle or several titles,
1891,WILTSHIRE,Male,linendraper,628,41010,1,41025,DRAPERS LINEN DRAPERS MERCERS,Working Proprietor (Wholesale or Retail Trade),simple
1891,HAMPSHIRE,Male,apprentice to builder,405,21230,2,95910,BUILDERS,"Housebuilder, General",
1891,LANCASHIRE,Male,glass bottle works apprentice,469,89130,1,89128,GLASS BOTTLE MANUFACTURE,Glass-Blowing Machine Operator,
1891,LONDON,Female,blow makers apprentice,257,83230,1,83240,PATTERNMAKERS (UNDEFINED),Metal Pattern Maker (Foundry),
1891,CORNWALL,Female,charwoman domestic servant,84,54020,10,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,
1891,LONDON,Male,railway carriage spring maker,360,81300,1,87370,"RAILWAY--COACH, WAGON MAKER",Vehicle Sheet-Metal Worker,
1891,DURHAM,Male,manager lemonade manufactory,120,21182,1,21110,BANKERS,General Manager,moderate
1891,STAFFORDSHIRE,Male,harness plater,510,80320,7,80320,SADDLE HARNESS AND WHIP MAKERS,Saddler and Harness Maker,
1891,DEVON,Male,governer royal artillery,17,58420,2,58320,ARMY OFFICERS (EFFECTIVE),Officer,
1891,YORKSHIRE WEST RIDING,Male,drummer,76,17120,2,17120,"MUSICIAN, MUSIC MASTER, SINGER (NOT TEACHERS)",Composer,simple
1891,GLAMORGANSHIRE,Male,copper mill worker,247,87330,1,72000,COPPER MANUFACTURE,"Metal Processor, Specialisation Unknown",moderate
1891,MIDDLESEX,Female,government clerk,6,20200,1,31000,OTHER CIVIL SERVICE OFFICERS AND CLERKS,"Government Executive Official, Specialisation Unknown",
1891,YORKSHIRE WEST RIDING,Female,general servant domestic out of employ,84,54020,2,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,
1891,BUCKINGHAMSHIRE,Male,tinner,321,87340,1,87340,TINPLATE GOODS MANUFACTURE,Tinsmith,
1891,YORKSHIRE WEST RIDING,Male,teamster,141,98550,244,98620,CARMEN CARRIERS CARTERS AND DRAYMEN,Animal-Drawn Vehicle Driver (Road),simple
1891,LEICESTERSHIRE,Male,cutter dealers son,791,99999,1,99999,CHILDREN RELATIVES VISITORS AT HOME,Unspecified worktitle or several titles,
1891,YORKSHIRE EAST RIDING,Male,watch maker  dealer,404,41010,1,41025,WEIGHING AND MEASURING MACHINE DEALERS,Working Proprietor (Wholesale or Retail Trade),
1891,LONDON,Male,warehouseman birmingham,372,41015,1,41025,DEALERS IN ELECTRICAL APPARATUS,Working Proprietor (Wholesale or Retail Trade),
1891,LONDON,Female,house furniture clerk,451,41010,1,41025,FURNITURE BROKERS DEALERS,Working Proprietor (Wholesale or Retail Trade),
1891,GLOUCESTERSHIRE,Male,minister of the gospel,33,14120,1,14120,"MINISTER, PRIEST, OF OTHER RELIGIOUS BODIES",Minister of Religion,complex
1891,SUFFOLK,Male,an apprentice saddler,510,80320,1,80320,SADDLE HARNESS AND WHIP MAKERS,Saddler and Harness Maker,
1891,WORCESTERSHIRE,Female,labourer on farm,181,62110,1,62120,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED",Farm Servant,
1891,STAFFORDSHIRE,Female,manufacturers packer,695,77650,1,77790,CHOCOLATE COCOA MAKERS,"Other Tea, Coffee and Cocoa Preparers",
1891,CORNWALL,Male,ropers apprentice,584,75700,3,75710,"ROPE, TWINE, CORD û MAKERS","Rope Maker, General",
1891,LONDON,Female,forwoman pattern card maker,522,91020,1,91090,"CARD, STATIONERY MAKERS",Other Paper and Paperboard Products Makers,
1891,LONDON,Male,surveyor  house agents clerk,119,39310,1,30000,COMMERCIAL OR BUSINESS CLERKS,"Clerical or Related Worker, Specialisation Unknown",
1891,NOTTINGHAMSHIRE,Male,butcher  farmers son,175,62113,1,62110,"FARMER'S, GRAZIER'S--SON, DAUGHTER, OR OTHER RELATIVE ASSISTING IN THE WORK OF THE FARM","FarmHelper, General",
1891,LONDON,Male,counterman gp office,2,37020,1,37010,OTHER POST OFFICE OFFICERS AND CLERKS,"Mail Distribution Clerk, General",moderate
