Year,County,Sex,Occupation_String,Occode,HISCO_x,Count,HISCO_y,Occode_Desc,HISCO_Desc,complexity
1901,KENT,Male,retired coast guard officer,24,58430,2,58340,MEN OF THE NAVY (INC COASTGUARDS),Other Military Ranks,
1901,ESSEX,Male,steam engine maker  fitter,263,84130,8,84105,"FITTERS, TURNERS (ENGINE AND MACHINE)","Machinery Fitter, General",
1901,DURHAM,Male,rivetter on marine work,158,98200,1,98290,MERCHANT SERVICE; SEAMAN--ENGINEERING DEPARTMENT,Other Ships’ Engine-Room Ratings,complex
1901,SUSSEX,Female,furriers assistant,505,79200,1,76130,SKINNERS FURRIERS,Hide Flesher and Dehairer (Hand),
1901,HAMPSHIRE,Male,pig dealer cattle,733,45120,1,45120,CATTLE SHEEP ETC SALESMEN,Wholesale Trade Salesperson,
1901,SUFFOLK,Male,carpenter,409,95410,1,95410,"CARPENTER, JOINER","Carpenter, General",simple
1901,LEICESTERSHIRE,Male,apprentice to blindmaking,769,99150,1,99999,APPRENTICES,Unspecified worktitle or several titles,
1901,DURHAM,Male,apprentice iron founder joiner,349,87530,1,87450,SHIPWRIGHTS - METAL SHIPS,Metal Shipwright,
1901,LANCASHIRE,Male,letter press printer compositer,536,92110,1,92110,PRINTERS SO DESCRIBED,"Printer, General",
1901,SUFFOLK,Male,retired farm servant,181,62110,1,62105,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED","Farm-Worker, General",
1901,LANCASHIRE,Female,hoze maker in rubber works,489,90100,1,90100,INDIA RUBBER AND GUTTA PERCHA MAKERS,"Rubber Product Maker, Specialisation Unknown",
1901,SUFFOLK,Male,framers son,175,62113,1,62110,"FARMER'S, GRAZIER'S--SON, DAUGHTER, OR OTHER RELATIVE ASSISTING IN THE WORK OF THE FARM","FarmHelper, General",moderate
1901,LONDON,Male,professor of music violin,53,13100,1,13100,UNIVERSITY TEACHERS,"University and Higher Education Teacher, Subject Unknown",
1901,SURREY,Male,journalist  barrister,56,15100,1,15915,AUTHORS EDITORS JOURNALISTS AND CREATIVE ADVERTISING WORKERS,Journalist,
