Year,County,Sex,Occupation_String,Occode,HISCO_x,Count,HISCO_y,Occode_Desc,HISCO_Desc,complexity
1861,YORKSHIRE EAST RIDING,Male,meat butcher,682,77310,1,45125,BUTCHERS AND MEAT SALESMEN,"Salesperson, Wholesale or Retail Trade",
1861,LANCASHIRE,Male,carting agent,147,71190,1,97345,OTHERS CONNECTED WITH CARRIAGE/CARTAGE (MINE),Mine Cageman,moderate
1861,WESTMORLAND,Female,farm work,181,62110,1,62120,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED",Farm Servant,
1861,NOTTINGHAMSHIRE,Female,retired licenced victuallers daughter,791,99999,1,99999,CHILDREN RELATIVES VISITORS AT HOME,Unspecified worktitle or several titles,
1861,NORTHUMBERLAND,Female,maise maker,394,94190,1,94190,OTHER MUSICAL INSTRUMENT MAKERS,Other Musical Instrument Makers and Tuners,
1861,YORKSHIRE NORTH RIDING,Male,farmer of  acres,173,61110,5,61110,"FARMER, GRAZIER",General Farmer,
1861,BEDFORDSHIRE,Female,houses and land,772,99999,1,99999,RETIRED (NOT ARMY OR NAVY),Unspecified worktitle or several titles,
1861,LEICESTERSHIRE,Female,glove hiltcher,671,41010,1,41025,GLOVE DEALERS,Working Proprietor (Wholesale or Retail Trade),
1861,WARWICKSHIRE,Male,stamper of ruled wared,383,88050,1,88030,LAPIDARIES AND OTHER PRECIOUS MATERIAL WORKERS,Gem Cutter and Polisher,complex
1861,LANCASHIRE,Male,cotton power loom,551,75400,15,75432,COTTON & COTTON GOODS MANUFACTURE WEAVING PROCESSES,Cloth Weaver (Hand or Machine),
1861,DEVON,Male,agent  ship broker,112,43010,1,43200,"BROKERS, FACTORS, COMMERCIAL AGENTS (NOT - MINE, QUARRY, INSURANCE)",Commercial Travellers and Manufacturers Agents,
1861,WARWICKSHIRE,Female,attends sunday school,512,94290,1,94240,BRUSH AND BROOM MAKERS,Broom Maker (Hand),
1861,YORKSHIRE WEST RIDING,Male,card engine pleaner,255,83230,1,83240,PATTERNMAKERS (AGRICULTURAL MACHINE AND IMPLEMENT MAKING),Metal Pattern Maker (Foundry),moderate
1861,SUSSEX,Male,formerly aman,105,56000,1,56010,"LAUNDRY WORKER: WASHER, IRONER, MANGLER, ETC. (NOT DOMESTIC)","Launderer,  General",
1861,GLOUCESTERSHIRE,Male,road contractor employing  men and  boys,434,21290,1,3010,"ROAD--CONTRACTOR, SURVEYOR, INSPECTOR","Surveyor, General",
1861,BEDFORDSHIRE,Male,market gardiner  beer retailer,714,51050,1,51050,BEERSELLERS,"Working Proprietor  (Cafe, Bar and Snack Bar)",
1861,CHESHIRE,Male,clerk for auctioneer,119,39310,1,30000,COMMERCIAL OR BUSINESS CLERKS,"Clerical or Related Worker, Specialisation Unknown",
1861,DENBIGHSHIRE,Male,farm labourers son,791,99999,1,99999,CHILDREN RELATIVES VISITORS AT HOME,Unspecified worktitle or several titles,
1861,LEICESTERSHIRE,Male,gardener employing  man,185,62710,1,62740,OTHER GARDENER (NOT DOMESTIC),Gardener,
1861,BUCKINGHAMSHIRE,Male,miller man,686,77100,1,77120,CORN MILLERS,Grain Miller,moderate
1861,LONDON,Female,hosue servt,84,54020,1,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,
1861,LANCASHIRE,Female,pillo,999,-1,1,0,,,simple
1861,YORKSHIRE WEST RIDING,Male,farmer of  acres of land,173,61110,2,61110,"FARMER, GRAZIER",General Farmer,
1861,YORKSHIRE WEST RIDING,Male,cordwainer servant,663,80100,3,80110,SHOE AND BOOT MAKERS (AND REPAIRERS),"Shoemaker, General",
1861,STAFFORDSHIRE,Female,pollers assistant,283,3200,1,3200,TECHNICIANS (UNSPECIFIED),"Technician, Specialisation Unknown",moderate
1861,CARDIGANSHIRE,Male,farm servant,181,62110,510,62105,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED","Farm-Worker, General",
1861,STAFFORDSHIRE,Female,propristor of house,796,99999,1,99999,"PRISONERS, REFORM SCHOOL INMATES ETC",Unspecified worktitle or several titles,
1861,LINCOLNSHIRE,Male,cottager of  acres land employed  man,173,61110,1,61110,"FARMER, GRAZIER",General Farmer,complex
1861,YORKSHIRE WEST RIDING,Male,wood manufacturer,182,63110,2,63110,WOODMAN,Logger (General),
1861,LONDON,Female,building,405,21230,2,95910,BUILDERS,"Housebuilder, General",simple
1861,LANCASHIRE,Male,house painter provision dealer,421,93120,1,93120,"PAINTERS, DISTEMPERERS & DECORATORS",Building Painter,
1861,LANCASHIRE,Female,servant out,108,54010,1,54010,SERVANTS - UNDEFINED (NON-RESIDENT),"Domestic Servant, General",
1861,OXFORDSHIRE,Male,journeyman maker,592,75500,2,75530,HOSIERY MANUFACTURE,Knitting Machine Operator (Hosiery),
1861,LONDON,Male,ironmonger and smith employing  man and  boys,173,61110,1,61110,"FARMER, GRAZIER",General Farmer,
1861,LANCASHIRE,Female,cotton weaver factory worker,555,79990,1,75000,COTTON & COTTON GOODS MANUFACTURE UNDEFINED,"Spinners, Weavers, Knitters, Dyers and Related Workers, Specialisation Unknown",complex
1861,YORKSHIRE WEST RIDING,Female,fundholde,765,99130,1,99910,GENERAL LABOURERS,Labourer,simple
1861,CUMBERLAND,Male,farmer of  acres cordwainer,173,61110,1,61110,"FARMER, GRAZIER",General Farmer,
1861,LINCOLNSHIRE,Male,farmer of  acres,173,61110,1,61110,"FARMER, GRAZIER",General Farmer,
1861,YORKSHIRE WEST RIDING,Female,plumber and painter employing  man wife,789,99999,1,99999,WIVES ASSISTING GENERALLY IN THEIR HUSBANDS OCCUPATIONS (WIFE OF à),Unspecified worktitle or several titles,
1861,HUNTINGDONSHIRE,Male,orphan,795,99999,1,99999,NO SPECIFIED OCCUPATION - CHILDREN,Unspecified worktitle or several titles,simple
1861,KENT,Male,farm labourer,181,62110,1826,62105,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED","Farm-Worker, General",
1861,LEICESTERSHIRE,Male,general servant in husbandry,181,62110,1,62105,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED","Farm-Worker, General",
1861,YORKSHIRE WEST RIDING,Male,file manufacture,292,83160,1,83915,FILE MAKERS,Cutler,moderate
1861,LONDON,Male,ordinary seaman,24,58430,6,58340,MEN OF THE NAVY (INC COASTGUARDS),Other Military Ranks,
1861,SOMERSET,Male,farmer of  acres,173,61110,1,61110,"FARMER, GRAZIER",General Farmer,
1861,LINCOLNSHIRE,Male,musician,76,17120,61,17120,"MUSICIAN, MUSIC MASTER, SINGER (NOT TEACHERS)",Composer,
1861,LONDON,Male,under ostler,139,62460,2,62460,"HORSEKEEPER, GROOM, STABLEMAN (NOT DOMESTIC)",Horse Worker,
1861,DERBYSHIRE,Male,farmer  acres,173,61110,2,61110,"FARMER, GRAZIER",General Farmer,
1861,KENT,Male,apprentice carpenter,409,95410,20,95420,"CARPENTER, JOINER",Construction Joiner,
1861,NORTHUMBERLAND,Male,foreman labourer manner works,485,74100,1,74500,MINERAL OIL WORKER,"Petroleum-Refining Worker, Specialisation Unknown",
1861,CORNWALL,Male,servant agricultural labourer,181,62110,1,62120,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED",Farm Servant,
1861,HAMPSHIRE,Male,monger,751,41010,1,41025,DEALERS IN SUNDRY MATERIALS,Working Proprietor (Wholesale or Retail Trade),simple
1861,CORNWALL,Male,farmer  acres and,173,61110,1,61110,"FARMER, GRAZIER",General Farmer,
1861,SHROPSHIRE,Male,retired chemist druggist,482,41010,1,6710,CHEMISTS DRUGGISTS,Pharmacist,
1861,NOTTINGHAMSHIRE,Male,retired clerk,119,39310,2,30000,COMMERCIAL OR BUSINESS CLERKS,"Clerical or Related Worker, Specialisation Unknown",
1861,WORCESTERSHIRE,Female,pensioners daughter scholar,787,99999,1,99999,SCHOLARS ETC,Unspecified worktitle or several titles,
1861,STAFFORDSHIRE,Male,farmer of  acres employing  labourer,173,61110,1,61110,"FARMER, GRAZIER",General Farmer,complex
1861,NORTHAMPTONSHIRE,Male,delivery porter,171,37040,2,37040,"MESSENGER, PORTER, WATCHMAN (NOT RAILWAY OR GOVERNMENT)",Messenger,
1861,STAFFORDSHIRE,Male,pardoner,999,-1,1,0,,,simple
1861,WARWICKSHIRE,Male,basket work,447,94290,1,94250,WILLOW CANE AND RUSH WORKERS,Wicker Furniture Maker,
1861,SOMERSET,Female,housemaid,84,54020,1467,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,simple
1861,SURREY,Female,american export merchant wife,789,99999,1,99999,WIVES ASSISTING GENERALLY IN THEIR HUSBANDS OCCUPATIONS (WIFE OF à),Unspecified worktitle or several titles,
