Year,County,Sex,Occupation_String,Occode,HISCO_x,Count,HISCO_y,Occode_Desc,HISCO_Desc,complexity
1881,Cumberland,Male,cabinet maker apprentice,438,81190,6,81190,FURNITURE AND FITTINGS - OTHERS,Other Cabinetmakers,
1881,Hampshire,Male,vicar of weston,28,14120,1,14120,"CLERGYMAN OF THE ESTABLISHED CHURCH  (CHURCH OF ENGLAND IN ENGLAND AND WALES, CHURCH OF SCOTLAND IN",Minister of Religion,moderate
1881,Cardiganshire,Male,farmer work on farm ag lab,181,62110,1,62105,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED","Farm-Worker, General",
1881,"London (Parts Of Middlesex, ",Male,surgeon major retired lst,19,58420,1,58320,ARMY OFFICERS (RETIRED),Officer,
1881,Durham,Female,clothes pin maker,509,80390,1,80390,"PARCHMENT, VELLUM - MAKER",Other Leather Goods Makers,
1881,Northumberland,Male,miner lead ore dresser,210,71120,2,71105,LEAD MINER,"Miner, General",
1881,Brecknockshire,Male,mason tiler  plasterer employing  man,417,95140,1,95510,PLASTERER,"Plaster, General",
1881,Shropshire,Female,farm bailiff  acres,177,61400,1,21230,FARM - BAILIFFS STEWARDS FOREMEN,Farm Manager,
1881,"London (Parts Of Middlesex, ",Male,superd m f b,27,58420,1,58340,MEN OF THE MARINES,Other Military Ranks,complex
1881,Wiltshire,Male,farmer of  acres employing  men   boys,173,61110,1,61110,"FARMER, GRAZIER",General Farmer,
1881,Gloucestershire,Male,builders lab,408,97410,1,97415,BUILDERS' EXCAVATORS,Excavator (Hand Tools),
1881,Yorkshire West Riding,Female,nurse s m,46,7110,3,7110,NURSES (MEDICAL NOT DOMESTIC) INCLUDING POOR LAW NURSES,"Professional Nurse, General",
1881,Glamorganshire,Female,police constable wifge,789,99999,1,99999,WIVES ASSISTING GENERALLY IN THEIR HUSBANDS OCCUPATIONS (WIFE OF à),Unspecified worktitle or several titles,moderate
1881,Lancashire,Male,lath cutter,454,81990,16,95490,"LATH, WOODEN FENCE, HURDLE-MAKER","Other Carpenters, Joiners and Parquetry Workers",
1881,Westmorland,Male,ser farm indoor,177,61400,2,22520,FARM - BAILIFFS STEWARDS FOREMEN,Farm Supervisor,
1881,Warwickshire,Male,vicar of st marys leamington,28,14120,1,14120,"CLERGYMAN OF THE ESTABLISHED CHURCH  (CHURCH OF ENGLAND IN ENGLAND AND WALES, CHURCH OF SCOTLAND IN",Minister of Religion,
1881,"London (Parts Of Middlesex, ",Female,apprentice cigar making tobacconist,707,41010,2,41030,TOBACCONISTS,Working Proprietor (Retail Trade),
1881,Yorkshire West Riding,Male,journeyman butcher  farm labourer,181,62110,1,62120,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED",Farm Servant,
1881,Gloucestershire,Male,student,785,99999,74,99999,OTHER STUDENTS,Unspecified worktitle or several titles,
1881,Buckinghamshire,Male,valet dom,84,54020,1,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,moderate
1881,Durham,Female,income from land  houses interest of money,122,44110,1,44140,"BILL BROKERS, AGENTS AND DISCOUNTERS",Stock Broker,
1881,Wiltshire,Female,organist,76,17120,5,17145,"MUSICIAN, MUSIC MASTER, SINGER (NOT TEACHERS)",Singer,simple
1881,Devon,Male,farmer of  acres,173,61110,4,61110,"FARMER, GRAZIER",General Farmer,
1881,Cheshire,Male,farm bailiffe  acres employ  men,173,61110,1,61110,"FARMER, GRAZIER",General Farmer,
1881,Glamorganshire,Female,puddler wife,788,99999,30,99999,WIVES AND OTHERS ENGAGED IN (OWN) HOUSEHOLD DUTIES,Unspecified worktitle or several titles,moderate
1881,Yorkshire East Riding (With ,Male,butlers servant domestic,84,54020,1,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,
1881,Hampshire,Female,fancy repositary keeper fgi,400,41010,1,41030,TOY DEALERS,Working Proprietor (Retail Trade),
1881,Kent (Extra London),Female,village nurse s m s,46,7110,1,7110,NURSES (MEDICAL NOT DOMESTIC) INCLUDING POOR LAW NURSES,"Professional Nurse, General",complex
1881,"London (Parts Of Middlesex, ",Male,watchmaker son,791,99999,6,99999,CHILDREN RELATIVES VISITORS AT HOME,Unspecified worktitle or several titles,
1881,Staffordshire,Male,bookbinder,542,92600,34,92625,BOOKBINDERS,Bookbinder (Hand or Machine),simple
1881,Somerset,Female,vest maker tj,509,80390,1,80390,"PARCHMENT, VELLUM - MAKER",Other Leather Goods Makers,
1881,Warwickshire,Female,wood screw woman,306,83890,2,83990,BOLT NUT RIVET AND SCREW MANUFACTURE,"Other Blacksmiths, Toolmakers and MachineTool Operators Not Elsewhere Classified",
1881,Derbyshire,Male,factory hand cotton,608,75000,15,99930,FACTORY HANDS (TEXTILE) UNDEFINED (VARIOUS),Factory Worker,
1881,Lancashire,Female,generel domestic,84,54020,1,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,
1881,Lincolnshire,Male,inland revenue officer cs off,6,20200,1,31000,OTHER CIVIL SERVICE OFFICERS AND CLERKS,"Government Executive Official, Specialisation Unknown",complex
