County,Sex,Occode,final_result,Count,Year,Occupation_String,HISCO_x,HISCO_y,Occode_Desc,HISCO_Desc,complexity,standardized,category,confidence,needs_llm_check,confidence_reason,invalid_words,is_multiple_occupation,standardized_llm,OccCANINE_Check
-,Male,24,stoker nd class,23,1901,lg stoker nd class,58430,58340,MEN OF THE NAVY (INC COASTGUARDS),Other Military Ranks,complex,lg stoker nd class,transport_communication,0.54,True,unchanged_with_some_invalid_words,['lg'],False,lg stoker nd class,"[[98130, np.float32(0.970159), 'Able Seaman']]"
-,Male,10,pts ii,1,1901,pts ii,37040,37040,"PRISON SERVICE MESSENGERS, ETC.,",Messenger,,pts ii,other,0.9,False,acceptable_quality,[],False,,[]
ANGLESEY,Male,158,engineer marine,4,1901,engineer marine,98200,98290,MERCHANT SERVICE; SEAMAN--ENGINEERING DEPARTMENT,Other Ships’ Engine-Room Ratings,,engineer marine,other,0.9,False,acceptable_quality,[],False,,"[[58340, np.float32(0.3316149), 'Other Military Ranks']]"
ANGLESEY,Female,655,grocer draper,1,1901,grocer  draper,41010,41025,CLOTHIERS & OUTFITTERS (IE DEALERS AND MERCHANTS),Working Proprietor (Wholesale or Retail Trade),,grocer draper,food_drink,0.8801153027334755,False,acceptable_quality,[],False,,"[[94990, np.float32(0.57678336), 'Other Production and Related Workers Not Elsewhere Classified']]"
ANGLESEY,Male,175,farmer in law brother,1,1901,farmers brother in law,62113,62110,"FARMER'S, GRAZIER'S--SON, DAUGHTER, OR OTHER RELATIVE ASSISTING IN THE WORK OF THE FARM","FarmHelper, General",,farmer in law brother,family_dependent,0.7194638758923378,False,acceptable_quality,[],False,,"[[61110, np.float32(0.5989482), 'General Farmer']]"
BEDFORDSHIRE,Female,168,warehouse man,3,1901,warehouseman,97190,97145,WAREHOUSEMEN (NOT MANCHESTER GOODS),Warehouse Porter,simple,warehouse man,general_labour,0.8465977262910954,False,acceptable_quality,[],False,,"[[97190, np.float32(0.9190036), 'Other Dockers and Freight Handlers']]"
BEDFORDSHIRE,Male,246,cigar manufacturer,2,1901,tinware manufacturer,72200,72200,TINPLATE  MANUFACTURE,"Metal RollingMill Worker, Specialisation Unknown",,cigar manufacturer,metalwork_engineering,0.7012032578539887,False,acceptable_quality,[],False,,"[[84190, np.float32(0.89920306), 'Other Machinery Fitters and Machine Assemblers']]"
BEDFORDSHIRE,Male,359,clock maker,2,1901,blockmaker,79920,79920,SAILMAKERS,"Sail, Tent and Awning Maker",simple,clock maker,metalwork_engineering,0.8231459200529839,False,acceptable_quality,[],False,,"[[84220, np.float32(0.95780754), 'Watch and Clock Assembler']]"
BEDFORDSHIRE,Male,19,retired captain h m army,1,1901,retired captain h m army,58420,58320,ARMY OFFICERS (RETIRED),Officer,,retired captain h m army,unemployed_seeking,0.54,True,unchanged_with_some_invalid_words,"['h', 'm']",False,retired captain h m army,"[[58320, np.float32(0.964356), 'Officer']]"
BEDFORDSHIRE,Male,171,boy errand shoemaker,1,1901,errand boy shoemakers,37040,58940,"MESSENGER, PORTER, WATCHMAN (NOT RAILWAY OR GOVERNMENT)",Watchman,,boy errand shoemaker,clothing_footwear,0.7205324328244277,False,acceptable_quality,[],False,,"[[37040, np.float32(0.9937122), 'Messenger']]"
BEDFORDSHIRE,Male,747,yeoman modeller,1,1901,yner  modeller,92900,16120,FIGURE AND IMAGE MAKERS NOT EARTHENWARE,Sculptor,,yner modeller,other,0.6845341243482587,True,modification_poor_result,['yner'],False,yner modeller,"[[54090, np.float32(0.31310558), 'Other Maids and Related Housekeeping Service Workers']]"
BERKSHIRE,Female,650,apprentice milliner,4,1901,millinery apprentice,79320,79310,MILLINERS (NOT RETAIL - WORKSHOP/FACTORY),"Hat Maker, General",,apprentice milliner,clothing_footwear,0.7182158838198562,False,acceptable_quality,[],False,,"[[79320, np.float32(0.98739445), 'Milliner, General']]"
BERKSHIRE,Male,654,tailor machinist,4,1901,tailors machinist,79190,79190,OTHERS CLOTHING MANUFACTURERS,Other Tailors and Dressmakers,,tailor machinist,clothing_footwear,0.7514740791395086,False,acceptable_quality,[],False,,"[[79190, np.float32(0.8992141), 'Other Tailors and Dressmakers']]"
