Year,County,Sex,Occupation_String,Occode,HISCO_x,Count,HISCO_y,Occode_Desc,HISCO_Desc,standardized,category,confidence,needs_llm_check,confidence_reason,invalid_words,is_multiple_occupation,final_result
1851,LONDON,Male,chem,480,1100,1,1190,MANUFACTURING CHEMIST,Other Chemists,manufacturing chemist,manufacturing_other,0.224172376290146,True,very_low_confidence,['chem'],False,manufacturing chemist
1851,BERKSHIRE,Female,widow of wifes late brother,789,99999,1,99999,WIVES ASSISTING GENERALLY IN THEIR HUSBANDS OCCUPATIONS (WIFE OF à),Unspecified worktitle or several titles,of wife,family_dependent,0.2470734214862419,True,very_low_confidence,[],False,of wife
1851,HAMPSHIRE,Female,serv,84,54020,392,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,domestic servant,domestic_service,0.2623394771036252,True,very_low_confidence,[],False,domestic servant
1851,YORKSHIRE WEST RIDING,Unknown,serv,84,54020,3,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,domestic servant,domestic_service,0.2623394771036252,True,very_low_confidence,[],False,domestic servant
1851,HAMPSHIRE,Male,serv,84,54020,1,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,domestic servant,domestic_service,0.2623394771036252,True,very_low_confidence,[],False,domestic servant
1851,HAMPSHIRE,Unknown,serv,84,54020,2,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,domestic servant,domestic_service,0.2623394771036252,True,very_low_confidence,[],False,domestic servant
1851,HEREFORDSHIRE,Female,serv,84,54020,103,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,domestic servant,domestic_service,0.2623394771036252,True,very_low_confidence,[],False,domestic servant
1851,HAMPSHIRE,Female,serv,84,54020,2,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,domestic servant,domestic_service,0.2623394771036252,True,very_low_confidence,[],False,domestic servant
1851,GLOUCESTERSHIRE,Unknown,serv,84,54020,2,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,domestic servant,domestic_service,0.2623394771036252,True,very_low_confidence,[],False,domestic servant
1851,HERTFORDSHIRE,Female,serv,84,54020,77,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,domestic servant,domestic_service,0.2623394771036252,True,very_low_confidence,[],False,domestic servant
1851,HERTFORDSHIRE,Male,serv,84,54020,24,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,domestic servant,domestic_service,0.2623394771036252,True,very_low_confidence,[],False,domestic servant
1851,HERTFORDSHIRE,Unknown,serv,84,54020,1,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,domestic servant,domestic_service,0.2623394771036252,True,very_low_confidence,[],False,domestic servant
1851,GLOUCESTERSHIRE,Male,serv,84,54020,60,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,domestic servant,domestic_service,0.2623394771036252,True,very_low_confidence,[],False,domestic servant
1851,HUNTINGDONSHIRE,Female,serv,84,54020,11,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,domestic servant,domestic_service,0.2623394771036252,True,very_low_confidence,[],False,domestic servant
1851,HUNTINGDONSHIRE,Male,serv,84,54020,1,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,domestic servant,domestic_service,0.2623394771036252,True,very_low_confidence,[],False,domestic servant
1851,HAMPSHIRE,Male,serv,84,54020,99,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,domestic servant,domestic_service,0.2623394771036252,True,very_low_confidence,[],False,domestic servant
1851,ISLANDS IN THE BRITISH SEAS,Male,serv,84,54020,12,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,domestic servant,domestic_service,0.2623394771036252,True,very_low_confidence,[],False,domestic servant
1851,KENT,Female,serv,84,54020,262,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,domestic servant,domestic_service,0.2623394771036252,True,very_low_confidence,[],False,domestic servant
1851,KENT,Male,serv,84,54020,81,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,domestic servant,domestic_service,0.2623394771036252,True,very_low_confidence,[],False,domestic servant
1851,KENT,Unknown,serv,84,54020,5,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,domestic servant,domestic_service,0.2623394771036252,True,very_low_confidence,[],False,domestic servant
1851,GLOUCESTERSHIRE,Female,serv,84,54020,391,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,domestic servant,domestic_service,0.2623394771036252,True,very_low_confidence,[],False,domestic servant
1851,GLAMORGANSHIRE,Male,serv,84,54020,20,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,domestic servant,domestic_service,0.2623394771036252,True,very_low_confidence,[],False,domestic servant
1851,LANCASHIRE,Female,serv,84,54020,21,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,domestic servant,domestic_service,0.2623394771036252,True,very_low_confidence,[],False,domestic servant
1851,LANCASHIRE,Female,serv,84,54020,161,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,domestic servant,domestic_service,0.2623394771036252,True,very_low_confidence,[],False,domestic servant
1851,GLAMORGANSHIRE,Female,serv,84,54020,100,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,domestic servant,domestic_service,0.2623394771036252,True,very_low_confidence,[],False,domestic servant
1851,FLINTSHIRE,Male,serv,84,54020,5,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,domestic servant,domestic_service,0.2623394771036252,True,very_low_confidence,[],False,domestic servant
1851,ESSEX,Unknown,serv,84,54020,3,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,domestic servant,domestic_service,0.2623394771036252,True,very_low_confidence,[],False,domestic servant
1851,ESSEX,Male,serv,84,54020,40,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,domestic servant,domestic_service,0.2623394771036252,True,very_low_confidence,[],False,domestic servant
1851,ESSEX,Female,serv,84,54020,234,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,domestic servant,domestic_service,0.2623394771036252,True,very_low_confidence,[],False,domestic servant
1851,DURHAM,Male,serv,84,54020,39,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,domestic servant,domestic_service,0.2623394771036252,True,very_low_confidence,[],False,domestic servant
1851,LANCASHIRE,Male,serv,84,54020,10,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,domestic servant,domestic_service,0.2623394771036252,True,very_low_confidence,[],False,domestic servant
1851,HEREFORDSHIRE,Male,serv,84,54020,44,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,domestic servant,domestic_service,0.2623394771036252,True,very_low_confidence,[],False,domestic servant
1851,LANCASHIRE,Male,serv,84,54020,1,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,domestic servant,domestic_service,0.2623394771036252,True,very_low_confidence,[],False,domestic servant
1851,LEICESTERSHIRE,Female,serv,84,54020,224,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,domestic servant,domestic_service,0.2623394771036252,True,very_low_confidence,[],False,domestic servant
