County,Sex,Occode,final_result,Count,Year,Occupation_String,HISCO_x,HISCO_y,Occode_Desc,HISCO_Desc,complexity,standardized,category,confidence,needs_llm_check,confidence_reason,invalid_words,is_multiple_occupation,standardized_llm,OccCANINE_Check
ANGLESEY,Male,682,butcher,92,1891,butcher,77310,77310,BUTCHERS AND MEAT SALESMEN,"Butcher, General",simple,butcher,food_drink,0.9,False,acceptable_quality,[],False,,"[[77310, np.float32(0.9188), 'Butcher, General']]"
ANGLESEY,Female,54,pupil teacher,14,1891,pupil teacher,13990,13990,SCHOOL SERVICE (PUPIL TEACHERS),Other Teachers,,pupil teacher,professional_clerical,0.9,False,acceptable_quality,[],False,,"[[13990, np.float32(0.99841213), 'Other Teachers']]"
ANGLESEY,Female,12,assistant matron workhouse,1,1891,assistant matron workhouse,31090,20210,POOR LAW SERVICE,Government Administrator,,assistant matron workhouse,other,0.9,False,acceptable_quality,[],False,,"[[31090, np.float32(0.8904878), 'Government Executive Officials Not Elsewhere Classified']]"
ANGLESEY,Male,51,manufacturing saddle work,1,1891,manufacturing saddle work,6500,7990,HOSPITAL MEDICAL SERVICE,"Other Medical, Dental, Veterinary and Related Workers",moderate,manufacturing saddle work,other,0.9,False,acceptable_quality,[],False,,"[[94990, np.float32(0.4435442), 'Other Production and Related Workers Not Elsewhere Classified']]"
BEDFORDSHIRE,Male,686,chemical labourer,4,1891,miller labourer,77100,77120,CORN MILLERS,Grain Miller,moderate,chemical labourer,manufacturing_other,0.677117281240855,False,acceptable_quality,[],False,,"[[84190, np.float32(0.2985521), 'Other Machinery Fitters and Machine Assemblers'], [99910, np.float32(0.28264117), 'Labourer']]"
BEDFORDSHIRE,Male,791,fathers help,3,1891,fathers help,99999,99999,CHILDREN RELATIVES VISITORS AT HOME,Unspecified worktitle or several titles,,fathers help,other,0.9,False,acceptable_quality,[],False,,"[[14120, np.float32(0.54792756), 'Minister of Religion'], [64990, np.float32(0.44593346), 'Other Fishermen, Hunters and Related Workers']]"
BEDFORDSHIRE,Female,788,working at home,2,1891,working at home,99999,99999,WIVES AND OTHERS ENGAGED IN (OWN) HOUSEHOLD DUTIES,Unspecified worktitle or several titles,,working at home,other,0.9,False,acceptable_quality,[],False,,"[[54020, np.float32(0.4416179), 'House Servant']]"
BEDFORDSHIRE,Male,76,teacher music piano,1,1891,teacher music piano,17120,17145,"MUSICIAN, MUSIC MASTER, SINGER (NOT TEACHERS)",Singer,,teacher music piano,professional_clerical,0.9,False,acceptable_quality,[],False,,"[[13990, np.float32(0.7865865), 'Other Teachers']]"
BEDFORDSHIRE,Male,265,retired signal fitter,1,1891,retired signal fitter,84130,84190,RAILWAY - SIGNAL SWITCH TURNTABLE FITTERS,Other Machinery Fitters and Machine Assemblers,,retired signal fitter,unemployed_seeking,0.9,False,acceptable_quality,[],False,,"[[84190, np.float32(0.9390248), 'Other Machinery Fitters and Machine Assemblers']]"
BERKSHIRE,Male,181,agricultural labourer,21,1891,formerly agricultural labour,62110,62105,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED","Farm-Worker, General",,agricultural labourer,agricultural,0.6201679280803494,False,acceptable_quality,[],False,,[]
BERKSHIRE,Male,139,stable lad,18,1891,stable lad,62460,62460,"HORSEKEEPER, GROOM, STABLEMAN (NOT DOMESTIC)",Horse Worker,,stable lad,other,0.9,False,acceptable_quality,[],False,,"[[62460, np.float32(0.9677871), 'Horse Worker']]"
BERKSHIRE,Unknown,20,trooper royal horse guards,2,1891,trooper royal horse guards,58430,58340,SOLDIERS AND NON-COMMISSIONED OFFICERS,Other Military Ranks,,trooper royal horse guards,transport_communication,0.9,False,acceptable_quality,[],False,,"[[58340, np.float32(0.9764093), 'Other Military Ranks']]"
BERKSHIRE,Female,84,house maid under servant,1,1891,house maid under servant,54020,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,,house maid under servant,domestic_service,0.9,False,acceptable_quality,[],False,,"[[54020, np.float32(0.99245113), 'House Servant']]"
BERKSHIRE,Female,164,boatman owner,1,1891,boat owner,21160,41040,SHIP AND BOAT OWNERS,Working Proprietor (Hiring Out),,boatman owner,transport_communication,0.6892209440048026,False,acceptable_quality,[],False,,[]
BERKSHIRE,Female,682,retired butcher,1,1891,retired butcher,77310,45125,BUTCHERS AND MEAT SALESMEN,"Salesperson, Wholesale or Retail Trade",,retired butcher,unemployed_seeking,0.9,False,acceptable_quality,[],False,,"[[77310, np.float32(0.90277016), 'Butcher, General']]"
BERKSHIRE,Male,116,retired stationer,1,1891,retired auctioner,44330,44320,AUCTIONEERS APPRAISERS VALUERS HOUSE AGENTS,Auctioneer,,retired stationer,unemployed_seeking,0.6833805088833868,False,acceptable_quality,[],False,,"[[94990, np.float32(0.41947696), 'Other Production and Related Workers Not Elsewhere Classified']]"
BERKSHIRE,Male,179,cowman,1,1891,cowman,62420,62420,"AGRICULTURAL LABOURER, FARM SERVANT--DISTINGUISHED AS IN CHARGE OF CATTLE",Beef Cattle Farm Worker,,cowman,other,0.9,False,acceptable_quality,[],False,,"[[54090, np.float32(0.2497647), 'Other Maids and Related Housekeeping Service Workers'], [94990, np.float32(0.3210614), 'Other Production and Related Workers Not Elsewhere Classified']]"
BERKSHIRE,Male,181,dairyman farm servant,1,1891,dairyman farm servant,62110,62120,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED",Farm Servant,,dairyman farm servant,agricultural,0.9,False,acceptable_quality,[],False,,"[[54020, np.float32(0.25936145), 'House Servant'], [62460, np.float32(0.38016686), 'Horse Worker']]"
BERKSHIRE,Male,382,goldsmith,1,1891,goldsmith,88020,88050,GOLD AND SILVERSMITHS JEWELLERS (NOT DEALERS),Goldsmith and Silversmith,simple,goldsmith,metalwork_engineering,0.9,False,acceptable_quality,[],False,,"[[54090, np.float32(0.41832435), 'Other Maids and Related Housekeeping Service Workers']]"
BERKSHIRE,Male,386,apprentice watch maker,1,1891,watch makers apprentice,84220,84220,WATCH AND CLOCK MAKERS,Watch and Clock Assembler,,apprentice watch maker,metalwork_engineering,0.7615682303894218,False,acceptable_quality,[],False,,"[[84220, np.float32(0.9954926), 'Watch and Clock Assembler']]"
BERKSHIRE,Male,409,foreman of carpenter,1,1891,foreman of carpenters,95410,95410,"CARPENTER, JOINER","Carpenter, General",,foreman of carpenter,building_construction,0.7866028499058927,False,acceptable_quality,[],False,,"[[13100, np.float32(0.27334738), 'University and Higher Education Teacher, Subject Unknown'], [75600, np.float32(0.30678967), 'Bleachers, Dyers and Textile Product Finishers']]"
BRECKNOCKSHIRE,Male,606,weaver,10,1891,weaver,75400,75400,WEAVERS (UNDEFINED),"Weaver, Specialisation Unknown",,weaver,textile_manufacture,0.9,False,acceptable_quality,[],False,,"[[75400, np.float32(0.8339515), 'Weaver, Specialisation Unknown']]"
BRECKNOCKSHIRE,Male,668,hairdresser,8,1891,hairdresser,57020,57025,HAIRDRESSERS,Women's or Men's Hairdresser,simple,hairdresser,personal_service,0.9,False,acceptable_quality,[],False,,"[[94990, np.float32(0.24403888), 'Other Production and Related Workers Not Elsewhere Classified']]"
BUCKINGHAMSHIRE,Male,181,farm lad,5,1891,farm lad,62110,62105,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED","Farm-Worker, General",,farm lad,other,0.9,False,acceptable_quality,[],False,,"[[62460, np.float32(0.78047967), 'Horse Worker']]"
BUCKINGHAMSHIRE,Male,797,invalid,3,1891,invalid,99999,99999,"NO SPECIFIED OCCUPATION - VAGRANTS, UNEMPLOYED",Unspecified worktitle or several titles,,invalid,other,0.9,False,acceptable_quality,[],False,,"[[7110, np.float32(0.24329078), 'Professional Nurse, General'], [94990, np.float32(0.3193864), 'Other Production and Related Workers Not Elsewhere Classified']]"
BUCKINGHAMSHIRE,Female,585,watch maker,2,1891,mat maker,75000,75457,MAT MANUFACTURE (VARIOUS),Carpet Weaver (Hand or Machine),,watch maker,metalwork_engineering,0.6608977584999843,False,acceptable_quality,[],False,,"[[84220, np.float32(0.99233425), 'Watch and Clock Assembler']]"
BUCKINGHAMSHIRE,Female,650,dress milliner,1,1891,dress milliner,79320,79310,MILLINERS (NOT RETAIL - WORKSHOP/FACTORY),"Hat Maker, General",,dress milliner,clothing_footwear,0.9,False,acceptable_quality,[],False,,"[[79320, np.float32(0.8939307), 'Milliner, General']]"
BUCKINGHAMSHIRE,Male,3,retired boot and shoe maker,1,1891,retired postman and shoemaker,37030,37030,POSTMEN,Postman,,retired boot and shoe maker,unemployed_seeking,0.6445340049574111,False,multiple_occupation_excluded_from_llm_check,[],True,,"[[80110, np.float32(0.9779704), 'Shoemaker, General']]"
