record_id,original_hisco,enhanced_input,original_occupation,sex,county,count
0,77310,Male butcher in Anglesey,butcher,Male,ANGLESEY,92
1,13990,Female pupil teacher in Anglesey,pupil teacher,Female,ANGLESEY,14
2,31090,Female assistant matron workhouse in Anglesey,assistant matron workhouse,Female,ANGLESEY,1
3,6500,Male manufacturing saddle work in Anglesey,manufacturing saddle work,Male,ANGLESEY,1
4,77100,Male chemical labourer in Bedfordshire,chemical labourer,Male,BEDFORDSHIRE,4
5,99999,Male fathers help in Bedfordshire,fathers help,Male,BEDFORDSHIRE,3
6,99999,Female working at home in Bedfordshire,working at home,Female,BEDFORDSHIRE,2
7,17120,Male teacher music piano in Bedfordshire,teacher music piano,Male,BEDFORDSHIRE,1
8,84130,Male retired signal fitter in Bedfordshire,retired signal fitter,Male,BEDFORDSHIRE,1
9,62110,Male agricultural labourer in Berkshire,agricultural labourer,Male,BERKSHIRE,21
10,62460,Male stable lad in Berkshire,stable lad,Male,BERKSHIRE,18
11,58430,Unknown trooper royal horse guards in Berkshire,trooper royal horse guards,Unknown,BERKSHIRE,2
12,54020,Female house maid under servant in Berkshire,house maid under servant,Female,BERKSHIRE,1
13,21160,Female boatman owner in Berkshire,boatman owner,Female,BERKSHIRE,1
14,77310,Female retired butcher in Berkshire,retired butcher,Female,BERKSHIRE,1
15,44330,Male retired stationer in Berkshire,retired stationer,Male,BERKSHIRE,1
16,62420,Male cowman in Berkshire,cowman,Male,BERKSHIRE,1
17,62110,Male dairyman farm servant in Berkshire,dairyman farm servant,Male,BERKSHIRE,1
18,88020,Male goldsmith in Berkshire,goldsmith,Male,BERKSHIRE,1
19,84220,Male apprentice watch maker in Berkshire,apprentice watch maker,Male,BERKSHIRE,1
20,95410,Male foreman of carpenter in Berkshire,foreman of carpenter,Male,BERKSHIRE,1
21,75400,Male weaver in Brecknockshire,weaver,Male,BRECKNOCKSHIRE,10
22,57020,Male hairdresser in Brecknockshire,hairdresser,Male,BRECKNOCKSHIRE,8
23,62110,Male farm lad in Buckinghamshire,farm lad,Male,BUCKINGHAMSHIRE,5
24,99999,Male invalid in Buckinghamshire,invalid,Male,BUCKINGHAMSHIRE,3
25,75000,Female watch maker in Buckinghamshire,watch maker,Female,BUCKINGHAMSHIRE,2
26,79320,Female dress milliner in Buckinghamshire,dress milliner,Female,BUCKINGHAMSHIRE,1
27,37030,Male retired boot and shoe maker in Buckinghamshire,retired boot and shoe maker,Male,BUCKINGHAMSHIRE,1
28,13200,Male certificated school teacher in Buckinghamshire,certificated school teacher,Male,BUCKINGHAMSHIRE,1
29,83120,Male rivetter blacksmith labourer in Buckinghamshire,rivetter blacksmith labourer,Male,BUCKINGHAMSHIRE,1
30,83120,Male tinker in Buckinghamshire,tinker,Male,BUCKINGHAMSHIRE,1
31,87340,Male tinker in Buckinghamshire,tinker,Male,BUCKINGHAMSHIRE,1
32,77820,Male brewer and banker in Buckinghamshire,brewer and banker,Male,BUCKINGHAMSHIRE,1
33,94290,Male bonnet maker in Cambridgeshire,bonnet maker,Male,CAMBRIDGESHIRE,93
34,54020,Female domestic servant in Cambridgeshire,domestic servant,Female,CAMBRIDGESHIRE,68
35,41010,Female shopkeeper in Cambridgeshire,shopkeeper,Female,CAMBRIDGESHIRE,14
36,72400,Male engineers moulder in Cambridgeshire,engineers moulder,Male,CAMBRIDGESHIRE,5
37,41010,Male fruiterer in Cambridgeshire,fruiterer,Male,CAMBRIDGESHIRE,3
38,13100,Male fellow and classical lecturer of corpus college cambs in Cambridgeshire,fellow and classical lecturer of corpus college cambs,Male,CAMBRIDGESHIRE,1
39,37040,Male labourer porter in Cambridgeshire,labourer porter,Male,CAMBRIDGESHIRE,1
40,62110,Male farm employment in Cambridgeshire,farm employment,Male,CAMBRIDGESHIRE,1
41,62110,Male retired farm laborer in Cambridgeshire,retired farm laborer,Male,CAMBRIDGESHIRE,1
42,95700,Male lead glazier in Cambridgeshire,lead glazier,Male,CAMBRIDGESHIRE,1
43,87130,Male plumber labourer in Cambridgeshire,plumber labourer,Male,CAMBRIDGESHIRE,1
44,92600,Male apprentice book binder in Cambridgeshire,apprentice book binder,Male,CAMBRIDGESHIRE,1
45,41010,Male corn merchant agent in Cambridgeshire,corn merchant agent,Male,CAMBRIDGESHIRE,1
46,41010,Male wine merchant inn keeper in Cambridgeshire,wine merchant inn keeper,Male,CAMBRIDGESHIRE,1
47,41010,Male innkeeper horse slaughterer in Cambridgeshire,innkeeper horse slaughterer,Male,CAMBRIDGESHIRE,1
48,87120,Male turncock in Cardiganshire,turncock,Male,CARDIGANSHIRE,1
49,98520,Male coachmaker man domestic servant in Carmarthenshire,coachmaker man domestic servant,Male,CARMARTHENSHIRE,1
50,41010,Male general merchant in Carmarthenshire,general merchant,Male,CARMARTHENSHIRE,1
51,97430,Male platelayer in Carmarthenshire,platelayer,Male,CARMARTHENSHIRE,1
52,87350,Male boiler maker in Carmarthenshire,boiler maker,Male,CARMARTHENSHIRE,1
53,99999,Female to mother in Carnarvonshire,to mother,Female,CARNARVONSHIRE,2
54,17120,Male vocalist in Carnarvonshire,vocalist,Male,CARNARVONSHIRE,2
55,99999,Female charge of her own house as wife in Carnarvonshire,charge of her own house as wife,Female,CARNARVONSHIRE,1
56,62711,Male domestic servant in Carnarvonshire,domestic servant,Male,CARNARVONSHIRE,1
57,71130,Male quarryman baptist preacher in Carnarvonshire,quarryman baptist preacher,Male,CARNARVONSHIRE,1
58,83400,Male slate machinist sawing in Carnarvonshire,slate machinist sawing,Male,CARNARVONSHIRE,1
59,11010,Unknown accountant in Carnarvonshire,accountant,Unknown,CARNARVONSHIRE,1
60,95120,Male railway labourer in Cheshire,railway labourer,Male,CHESHIRE,875
61,62110,Male agricultural labourer in Cheshire,agricultural labourer,Male,CHESHIRE,12
62,21194,Male book seller in Cheshire,book seller,Male,CHESHIRE,11
63,81300,Male coachbuilder in Cheshire,coachbuilder,Male,CHESHIRE,5
64,54020,Female formerly kitchen maid in Cheshire,formerly kitchen maid,Female,CHESHIRE,1
65,54020,Female servant domestic out of situation in Cheshire,servant domestic out of situation,Female,CHESHIRE,1
66,61400,Female farm in Cheshire,farm,Female,CHESHIRE,1
