Year,County,Sex,Occupation_String,Occode,HISCO_x,Count,HISCO_y,Occode_Desc,HISCO_Desc,complexity,standardized,category,confidence,needs_llm_check,confidence_reason,invalid_words,is_multiple_occupation,all_predicted_hisco,prediction_count,prediction_details
1891,YORKSHIRE WEST RIDING,Male,brewer and publican,709,77820,2,77810,BREWERS,"Brewer, General",,brewer and publican,food_drink,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,"[[61220, np.float32(0.26244104), 'Field Crop Farmer']]; [[51020, np.float32(0.57974285), 'Working Proprietor (Hotel and Restaurant)']]",2,"[{'hisco': ""[[61220, np.float32(0.26244104), 'Field Crop Farmer']]"", 'split_index': 0, 'occupation': 'brewer'}, {'hisco': ""[[51020, np.float32(0.57974285), 'Working Proprietor (Hotel and Restaurant)']]"", 'split_index': 1, 'occupation': 'publican'}]"
1891,YORKSHIRE WEST RIDING,Male,tailor  teacher of the science and art of producing garments by my,76,17120,1,17135,"MUSICIAN, MUSIC MASTER, SINGER (NOT TEACHERS)",Orchestra and Band Conductor,,tailor teacher of the science and art of producing garments by my,clothing_footwear,0.8063931814943887,False,multiple_occupation_excluded_from_llm_check,[],True,"[[13320, np.float32(0.51427597), 'FirstLevel Education Teacher'], [79100, np.float32(0.50972676), 'Tailor, Specialisation Unknown']]; [[79190, np.float32(0.34974107), 'Other Tailors and Dressmakers']]",2,"[{'hisco': ""[[13320, np.float32(0.51427597), 'FirstLevel Education Teacher'], [79100, np.float32(0.50972676), 'Tailor, Specialisation Unknown']]"", 'split_index': 0, 'occupation': 'tailor teacher of the science'}, {'hisco': ""[[79190, np.float32(0.34974107), 'Other Tailors and Dressmakers']]"", 'split_index': 1, 'occupation': 'art of producing garments by my'}]"
1891,YORKSHIRE WEST RIDING,Male,decorative painter and caretaker,421,93120,1,93120,"PAINTERS, DISTEMPERERS & DECORATORS",Building Painter,,decorative painter and caretaker,building_construction,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,"[[93120, np.float32(0.41136375), 'Building Painter']]; [[54090, np.float32(0.26889905), 'Other Maids and Related Housekeeping Service Workers']]",2,"[{'hisco': ""[[93120, np.float32(0.41136375), 'Building Painter']]"", 'split_index': 0, 'occupation': 'decorative painter'}, {'hisco': ""[[54090, np.float32(0.26889905), 'Other Maids and Related Housekeeping Service Workers']]"", 'split_index': 1, 'occupation': 'caretaker'}]"
1891,YORKSHIRE WEST RIDING,Male,rag and pot dealer and electrian,689,41010,1,41020,HAY STRAW AND CHAFF DEALERS,Working Proprietor (Wholesale Trade),,rag and pot dealer and electrian,other,0.6480000000000001,False,multiple_occupation_excluded_from_llm_check,['electrian'],True,"[[61220, np.float32(0.36208165), 'Field Crop Farmer']]; [[41025, np.float32(0.4833949), 'Working Proprietor (Wholesale or Retail Trade)'], [61220, np.float32(0.29825813), 'Field Crop Farmer']]; []",3,"[{'hisco': ""[[61220, np.float32(0.36208165), 'Field Crop Farmer']]"", 'split_index': 0, 'occupation': 'rag'}, {'hisco': ""[[41025, np.float32(0.4833949), 'Working Proprietor (Wholesale or Retail Trade)'], [61220, np.float32(0.29825813), 'Field Crop Farmer']]"", 'split_index': 1, 'occupation': 'pot dealer'}, {'hisco': '[]', 'split_index': 2, 'occupation': 'electrian'}]"
1891,ESSEX,Male,farmer wheelwright and carpenter,366,81400,1,81925,WHEELWRIGHT,Cartwright,,farmer wheelwright and carpenter,agricultural,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,"[[54090, np.float32(0.7512248), 'Other Maids and Related Housekeeping Service Workers'], [61110, np.float32(0.3425985), 'General Farmer']]; [[54090, np.float32(0.82932776), 'Other Maids and Related Housekeeping Service Workers']]",2,"[{'hisco': ""[[54090, np.float32(0.7512248), 'Other Maids and Related Housekeeping Service Workers'], [61110, np.float32(0.3425985), 'General Farmer']]"", 'split_index': 0, 'occupation': 'farmer wheelwright'}, {'hisco': ""[[54090, np.float32(0.82932776), 'Other Maids and Related Housekeeping Service Workers']]"", 'split_index': 1, 'occupation': 'carpenter'}]"
1891,ESSEX,Male,cat and dog meat seller,545,21194,1,41030,"MAP PUBLISHERS, MAP & PRINT SELLERS",Working Proprietor (Retail Trade),,cat and dog meat seller,other,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,"[[54090, np.float32(0.83798057), 'Other Maids and Related Housekeeping Service Workers']]; [[54090, np.float32(0.28249145), 'Other Maids and Related Housekeeping Service Workers'], [94990, np.float32(0.85028154), 'Other Production and Related Workers Not Elsewhere Classified']]",2,"[{'hisco': ""[[54090, np.float32(0.83798057), 'Other Maids and Related Housekeeping Service Workers']]"", 'split_index': 0, 'occupation': 'cat'}, {'hisco': ""[[54090, np.float32(0.28249145), 'Other Maids and Related Housekeeping Service Workers'], [94990, np.float32(0.85028154), 'Other Production and Related Workers Not Elsewhere Classified']]"", 'split_index': 1, 'occupation': 'dog meat seller'}]"
1891,ESSEX,Female,stationers and post office assistant,2,37020,1,33170,OTHER POST OFFICE OFFICERS AND CLERKS,Post Office Counter Clerk,,assistant stationers and postboy office,transport_communication,0.6722214014127126,False,multiple_occupation_excluded_from_llm_check,[],True,"[[54090, np.float32(0.8140558), 'Other Maids and Related Housekeeping Service Workers'], [94990, np.float32(0.42558435), 'Other Production and Related Workers Not Elsewhere Classified']]; [[37040, np.float32(0.3681372), 'Messenger']]",2,"[{'hisco': ""[[54090, np.float32(0.8140558), 'Other Maids and Related Housekeeping Service Workers'], [94990, np.float32(0.42558435), 'Other Production and Related Workers Not Elsewhere Classified']]"", 'split_index': 0, 'occupation': 'stationers'}, {'hisco': ""[[37040, np.float32(0.3681372), 'Messenger']]"", 'split_index': 1, 'occupation': 'post office assistant'}]"
1891,HAMPSHIRE,Male,farm and road labourer,436,97490,1,99910,ROAD LABOURERS,Labourer,,farm and road labourer,building_construction,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,"[[61110, np.float32(0.35438183), 'General Farmer'], [94990, np.float32(0.24424039), 'Other Production and Related Workers Not Elsewhere Classified']]; [[99910, np.float32(0.5860493), 'Labourer']]",2,"[{'hisco': ""[[61110, np.float32(0.35438183), 'General Farmer'], [94990, np.float32(0.24424039), 'Other Production and Related Workers Not Elsewhere Classified']]"", 'split_index': 0, 'occupation': 'farm'}, {'hisco': ""[[99910, np.float32(0.5860493), 'Labourer']]"", 'split_index': 1, 'occupation': 'road labourer'}]"
1891,WILTSHIRE,Male,retired captain  hws bawker bath and j p for wilts,19,58420,1,58320,ARMY OFFICERS (RETIRED),Officer,,retired captain hws bawker bath and j p for wilts,unemployed_seeking,0.6262810346968166,False,multiple_occupation_excluded_from_llm_check,"['hws', 'bawker', 'j', 'p']",True,"[[4220, np.float32(0.32451835), ""Ship's Master (Inland Waterways)""], [58320, np.float32(0.5760507), 'Officer']]; [[98590, np.float32(0.904866), 'Other MotorVehicle Drivers']]",2,"[{'hisco': '[[4220, np.float32(0.32451835), ""Ship\'s Master (Inland Waterways)""], [58320, np.float32(0.5760507), \'Officer\']]', 'split_index': 0, 'occupation': 'captain hws bawker bath'}, {'hisco': ""[[98590, np.float32(0.904866), 'Other MotorVehicle Drivers']]"", 'split_index': 1, 'occupation': 'j p for wilts'}]"
1891,LANCASHIRE,Male,sol and mining engineer,64,2700,1,2710,MINING ENGINEERS,"Mining Engineer, General",,sol and mining engineer,other,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,"[]; [[2710, np.float32(0.26248974), 'Mining Engineer, General']]",2,"[{'hisco': '[]', 'split_index': 0, 'occupation': 'sol'}, {'hisco': ""[[2710, np.float32(0.26248974), 'Mining Engineer, General']]"", 'split_index': 1, 'occupation': 'mining engineer'}]"
