County,Sex,Occode,final_result,Count,Year,Occupation_String,HISCO_x,HISCO_y,Occode_Desc,HISCO_Desc,complexity,standardized,category,confidence,needs_llm_check,confidence_reason,invalid_words,is_multiple_occupation,standardized_llm
Anglesey,Female,788,shopkeeper wife,3,1881,shop keepers wife,99999,99999,WIVES AND OTHERS ENGAGED IN (OWN) HOUSEHOLD DUTIES,Unspecified worktitle or several titles,,shopkeeper wife,family_dependent,0.6754632280275228,False,acceptable_quality,[],False,
Anglesey,Female,758,shop manager,1,1881,shop manager,41010,41025,GENERAL SHOPKEEPERS DEALERS,Working Proprietor (Wholesale or Retail Trade),,shop manager,other,0.9,False,acceptable_quality,[],False,
Anglesey,Male,173,farmer in acres,1,1881,farmer in  acres,61110,61110,"FARMER, GRAZIER",General Farmer,moderate,farmer in acres,agricultural,0.8827447512739507,False,acceptable_quality,[],False,
Anglesey,Male,173,occupier of ac of land farmer,1,1881,occupier of  ac of land farmer,61110,61110,"FARMER, GRAZIER",General Farmer,,occupier of ac of land farmer,agricultural,0.8910390395989597,False,acceptable_quality,[],False,
Bedfordshire,Male,11,police sergeant,4,1881,police sergeant,58220,58220,POLICE,Policeman and other Maintainers of Law and Order (except Military),,police sergeant,public_service,0.9,False,acceptable_quality,[],False,
Bedfordshire,Female,82,agl labr housekeeper,1,1881,agl labr housekeeper,54090,54090,"DOMESTIC INDOOR SERVANTS IN HOTELS, LODGING HOUSES AND EATING HOUSES",Other Maids and Related Housekeeping Service Workers,,agl labr housekeeper,domestic_service,0.27,True,unchanged_with_many_invalid_words,"['agl', 'labr']",False,agl labr housekeeper
Bedfordshire,Female,84,house parlour maid domestic servant,1,1881,house  parlr maid dom serv stc,54020,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,,house parlr maid domestic servant stc,domestic_service,0.5858116475210938,True,modification_poor_result,"['parlr', 'stc']",False,house parlr maid domestic servant stc
Bedfordshire,Female,107,governess,1,1881,governess sch,13920,13960,GOVERNESSES (DOMESTIC)(NON-RESIDENT),Governess,,governess,professional_clerical,0.8108295125922357,False,acceptable_quality,[],False,
Bedfordshire,Female,772,baker wife,1,1881,retired bakers wife,99999,99999,RETIRED (NOT ARMY OR NAVY),Unspecified worktitle or several titles,,baker wife,family_dependent,0.4829988645051812,True,low_confidence,[],False,baker wife
Bedfordshire,Female,788,corn dealer wife,1,1881,horse dealer wife,99999,99999,WIVES AND OTHERS ENGAGED IN (OWN) HOUSEHOLD DUTIES,Unspecified worktitle or several titles,,corn dealer wife,family_dependent,0.7252483021896611,False,acceptable_quality,[],False,
Bedfordshire,Male,76,schoolmaster and teacher of music,1,1881,schoolmaster and teacher of music,17120,17135,"MUSICIAN, MUSIC MASTER, SINGER (NOT TEACHERS)",Orchestra and Band Conductor,,schoolmaster and teacher of music,professional_clerical,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,
Bedfordshire,Male,173,farmer of acres,1,1881,farmers of  acres,61110,61110,"FARMER, GRAZIER",General Farmer,moderate,farmer of acres,agricultural,0.7795314113842621,False,acceptable_quality,[],False,
Bedfordshire,Male,177,farm bailiff,1,1881,retd farm bailiff,61400,21230,FARM - BAILIFFS STEWARDS FOREMEN,Farm Manager,,farm bailiff,agricultural,0.8468983193724677,False,acceptable_quality,[],False,
Bedfordshire,Male,612,bleacher leghorn,1,1881,bleacher leghorn,75600,75615,FLAX LINEN BLEACHERS,Textile Bleacher,,bleacher leghorn,other,0.9,False,acceptable_quality,[],False,
Bedfordshire,Male,789,labourer in gardens n d,1,1881,labourer in garden n d,99999,99999,WIVES ASSISTING GENERALLY IN THEIR HUSBANDS OCCUPATIONS (WIFE OF à),Unspecified worktitle or several titles,complex,labourer in garden n d,general_labour,0.54,True,unchanged_with_some_invalid_words,"['n', 'd']",False,labourer in garden n d
Berkshire,Male,139,groom,87,1881,groom,62460,62460,"HORSEKEEPER, GROOM, STABLEMAN (NOT DOMESTIC)",Horse Worker,simple,groom,personal_service,0.9,False,acceptable_quality,[],False,
Berkshire,Female,84,nursemaid,78,1881,nursemaid,54020,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,simple,nursemaid,domestic_service,0.9,False,acceptable_quality,[],False,
Berkshire,Male,462,timber merchant,10,1881,timber merchant,41015,41020,TIMBER MERCHANTS WOOD DEALERS,Working Proprietor (Wholesale Trade),,timber merchant,retail_trade,0.9,False,acceptable_quality,[],False,
Berkshire,Female,181,hand field,7,1881,field hand,62110,62105,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED","Farm-Worker, General",,hand field,other,0.8496787601654118,False,acceptable_quality,[],False,
Berkshire,Male,139,kennelman,2,1881,kennelman,62460,62460,"HORSEKEEPER, GROOM, STABLEMAN (NOT DOMESTIC)",Horse Worker,simple,kennelman,other,0.9,False,acceptable_quality,[],False,
Berkshire,Male,999,berks,2,1881,berks,-1,0,,,,berks,other,0.9,False,acceptable_quality,[],False,
Berkshire,Female,84,mothers help dom servant,1,1881,mothers help dom servant,54020,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,,mothers help dom servant,domestic_service,0.9,False,acceptable_quality,[],False,
Berkshire,Female,124,agent for sutton co parcel delivery,1,1881,agent for sutton  co parcel delivery,44120,44120,INSURANCE AGENTS,Insurance Salesman,complex,agent for sutton co parcel delivery,professional_clerical,0.8925696989392969,False,acceptable_quality,[],False,
Berkshire,Female,661,glove gaiter maker,1,1881,glove  gaiter maker,79400,79475,GLOVE MANUFACTURE,"Glove Cutter, Leather or other material",,glove gaiter maker,other,0.8856008005232721,False,acceptable_quality,[],False,
Berkshire,Female,791,farm bailiff daughter,1,1881,farm bailiff dau,99999,99999,CHILDREN RELATIVES VISITORS AT HOME,Unspecified worktitle or several titles,moderate,farm bailiff daughter,family_dependent,0.821939049500128,False,acceptable_quality,[],False,
Berkshire,Male,28,rector of pangbourne,1,1881,rector of pangbourne,14120,14120,"CLERGYMAN OF THE ESTABLISHED CHURCH  (CHURCH OF ENGLAND IN ENGLAND AND WALES, CHURCH OF SCOTLAND IN",Minister of Religion,,rector of pangbourne,other,0.54,True,unchanged_with_some_invalid_words,['pangbourne'],False,rector of pangbourne
Berkshire,Male,28,vicar of wantage,1,1881,vicar of wantage,14120,14120,"CLERGYMAN OF THE ESTABLISHED CHURCH  (CHURCH OF ENGLAND IN ENGLAND AND WALES, CHURCH OF SCOTLAND IN",Minister of Religion,moderate,vicar of wantage,other,0.9,False,acceptable_quality,[],False,
Berkshire,Male,173,farmer of acres employing laborers,1,1881,farmer of  acres employing  laborers,61110,61110,"FARMER, GRAZIER",General Farmer,,farmer of acres employing laborers,agricultural,0.8847599748819491,False,acceptable_quality,[],False,
Berkshire,Male,766,engine driver,1,1881,engine driver keeper,96900,96910,"ENGINE DRIVERS, STOKERS, FIREMEN (NOT RAILWAY, MARINE, OR AGRICULTURAL)","Stationary Engine Operator, General",,engine driver,transport_communication,0.6862204634097738,False,acceptable_quality,[],False,
Brecknockshire,Male,173,farmer domestic servant indoor,2,1881,farmer serv indoor,61110,61110,"FARMER, GRAZIER",General Farmer,,farmer domestic servant indoor,agricultural,0.6249416377294327,False,acceptable_quality,[],False,
Brecknockshire,Male,409,apprentice carpenter,2,1881,apprentice carpenter,95410,95420,"CARPENTER, JOINER",Construction Joiner,,apprentice carpenter,building_construction,0.9,False,acceptable_quality,[],False,
Brecknockshire,Male,173,farmer acreage not known,1,1881,farmer acreage nk,61110,61110,"FARMER, GRAZIER",General Farmer,moderate,farmer acreage not known,agricultural,0.8267633321977198,False,acceptable_quality,[],False,
Brecknockshire,Male,173,farmer of acres employing agricultural labourer,1,1881,farmer of  acres employing  ag lab,61110,61110,"FARMER, GRAZIER",General Farmer,,farmer of acres employing agricultural labourer,agricultural,0.7153476283864778,False,acceptable_quality,[],False,
Brecknockshire,Male,417,mason tiler plasterer employing man,1,1881,mason tiler  plasterer employing  man,95140,95510,PLASTERER,"Plaster, General",,mason tiler plasterer employing man,building_construction,0.8851923148712777,False,acceptable_quality,[],False,
Buckinghamshire,Female,657,dressmaker,2,1881,dress mkr,79130,79140,DRESSMAKERS,Dressmaker,moderate,dressmaker,clothing_footwear,0.9844937371709676,False,acceptable_quality,[],False,
Buckinghamshire,Female,84,domestic servant,1,1881,domestic servant gen,54020,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,,domestic servant,domestic_service,0.7644062492211338,False,acceptable_quality,[],False,
Buckinghamshire,Female,788,blacksmith wife,1,1881,blacksmith journeyman wife,99999,99999,WIVES AND OTHERS ENGAGED IN (OWN) HOUSEHOLD DUTIES,Unspecified worktitle or several titles,,blacksmith wife,family_dependent,0.629819522125016,False,acceptable_quality,[],False,
Buckinghamshire,Male,65,retired civil engineer,1,1881,retired civil engineer,2200,2290,CIVIL ENGINEERS,Other Civil Engineers,,retired civil engineer,unemployed_seeking,0.9,False,acceptable_quality,[],False,
Buckinghamshire,Male,84,valet dom,1,1881,valet dom,54020,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,moderate,valet dom,other,0.9,False,acceptable_quality,[],False,
Buckinghamshire,Male,405,master builder employs men,1,1881,master builder employs  men,21230,95910,BUILDERS,"Housebuilder, General",,master builder employs men,building_construction,0.8900100584126297,False,acceptable_quality,[],False,
Cambridgeshire,Female,797,unemployed,60,1881,unemployed,99999,99999,"NO SPECIFIED OCCUPATION - VAGRANTS, UNEMPLOYED",Unspecified worktitle or several titles,simple,unemployed,unemployed_seeking,0.9,False,acceptable_quality,[],False,
Cambridgeshire,Male,653,retired tailor,10,1881,retired tailor,79120,79100,TAILORS (NOT MERCHANTS) - DEFAULT,"Tailor, Specialisation Unknown",,retired tailor,unemployed_seeking,0.9,False,acceptable_quality,[],False,
Cambridgeshire,Male,181,agricultural labourer,2,1881,farm labourer out of employ,62110,62105,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED","Farm-Worker, General",,agricultural labourer,agricultural,0.4295511188341281,True,low_confidence,[],False,agricultural labourer
Cambridgeshire,Female,181,farm servant,1,1881,farmers servant,62110,62105,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED","Farm-Worker, General",,farm servant,agricultural,0.6928055808537419,False,acceptable_quality,[],False,
Cambridgeshire,Female,181,housekeeper,1,1881,farmhouse keeper,62110,62105,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED","Farm-Worker, General",,housekeeper,domestic_service,0.710860950680556,False,acceptable_quality,[],False,
Cambridgeshire,Male,136,horsedealer,1,1881,horsedealer,41010,62460,"HORSE PROPRIETOR, BREEDER, DEALER",Horse Worker,simple,horsedealer,other,0.27,True,unchanged_with_many_invalid_words,['horsedealer'],False,horsedealer
Cambridgeshire,Male,173,stonemason builder emp men boys,1,1881,stonemason  blder emp  men   boys,61110,61110,"FARMER, GRAZIER",General Farmer,complex,stonemason blder emp men boys,building_construction,0.6737909611031686,True,modification_poor_result,"['blder', 'emp']",False,stonemason blder emp men boys
Cambridgeshire,Male,179,agricultural labourer,1,1881,farm labourer stockman,62420,62420,"AGRICULTURAL LABOURER, FARM SERVANT--DISTINGUISHED AS IN CHARGE OF CATTLE",Beef Cattle Farm Worker,,agricultural labourer,agricultural,0.5114052127767339,False,acceptable_quality,[],False,
Cambridgeshire,Male,414,wood stone carver mason,1,1881,wood  stone carver mason,95110,95140,MASON,Stonemason (Construction),,wood stone carver mason,building_construction,0.8887140987146643,False,acceptable_quality,[],False,
