Year,County,Sex,Occupation_String,Occode,HISCO_x,Count,HISCO_y,Occode_Desc,HISCO_Desc,complexity,standardized,category,confidence,needs_llm_check,confidence_reason,invalid_words,is_multiple_occupation,final_result
1881,Cumberland,Male,husbandsman,183,61250,1,62730,"NURSERYMAN, SEEDSMAN, FLORIST",Nursery Worker,simple,husbandsman,other,0.27,True,unchanged_with_many_invalid_words,['husbandsman'],False,husbandsman
1881,Cumberland,Male,postmastercs,2,37020,1,37090,OTHER POST OFFICE OFFICERS AND CLERKS,Other Mail Distribution Clerks,simple,postmastercs,other,0.27,True,unchanged_with_many_invalid_words,['postmastercs'],False,postmastercs
1881,Hampshire,Male,ships stewd asst,159,52030,1,54060,"MERCHANT SERVICE: SEAMAN--COOKS, STEWARDS, AND OTHERS (SUBSIDIARY SERVICE)",Ship's Steward,,ships stewd asst,other,0.27,True,unchanged_with_many_invalid_words,"['stewd', 'asst']",False,ships stewd asst
1881,"London (Parts Of Middlesex, ",Male,superd m f b,27,58420,1,58340,MEN OF THE MARINES,Other Military Ranks,complex,superd m f b,other,0.27,True,unchanged_with_many_invalid_words,"['superd', 'm', 'f', 'b']",False,superintendent of police
1881,"London (Parts Of Middlesex, ",Male,maartist,999,-1,1,0,,,simple,maartist,other,0.27,True,unchanged_with_many_invalid_words,['maartist'],False,maartist
1881,"London (Parts Of Middlesex, ",Male,electricion,284,85100,1,85320,ELECTRICAL CABLE MAKERS,Electrical Equipment Assembler,simple,electricion,other,0.27,True,unchanged_with_many_invalid_words,['electricion'],False,electricion
1881,"London (Parts Of Middlesex, ",Female,genlservtdomestic,30,14120,1,14120,"MINISTER, PRIEST, OF UNITED FREE CHURCH",Minister of Religion,simple,genlservtdomestic,other,0.27,True,unchanged_with_many_invalid_words,['genlservtdomestic'],False,genlservtdomestic
1881,Northumberland,Male,quarreyman,224,71130,1,71110,STONE QUARRIERS,"Quarryman, General",,quarreyman,other,0.27,True,unchanged_with_many_invalid_words,['quarreyman'],False,quarreyman
1881,Gloucestershire,Female,scholer,787,99999,1,99999,SCHOLARS ETC,Unspecified worktitle or several titles,simple,scholer,other,0.27,True,unchanged_with_many_invalid_words,['scholer'],False,scholer
1881,Durham,Male,potter e w manuf,467,89200,12,89210,"EARTHENWARE, CHINA, PORCELAIN--MANUFACTURE","Potter, General",,potter e w manuf,other,0.27,True,unchanged_with_many_invalid_words,"['e', 'w', 'manuf']",False,potter and earthenware manufacturer
