Year,County,Sex,Occupation_String,Occode,HISCO_x,Count,HISCO_y,Occode_Desc,HISCO_Desc,complexity,standardized,category,confidence,needs_llm_check,confidence_reason,invalid_words,is_multiple_occupation,all_predicted_hisco,prediction_count,prediction_details
1911,GLOUCESTERSHIRE,Male,trades mans and at home,108,54010,1,54010,SERVANTS - UNDEFINED (NON-RESIDENT),"Domestic Servant, General",complex,trades mans and at home,other,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,"[[54090, np.float32(0.2931854), 'Other Maids and Related Housekeeping Service Workers'], [94990, np.float32(0.23251352), 'Other Production and Related Workers Not Elsewhere Classified']]",1,"[{'hisco': ""[[54090, np.float32(0.2931854), 'Other Maids and Related Housekeeping Service Workers'], [94990, np.float32(0.23251352), 'Other Production and Related Workers Not Elsewhere Classified']]"", 'split_index': 0, 'occupation': 'trades mans'}]"
1911,LINCOLNSHIRE,Male,grocer and pork butcher,697,41010,2,41030,GROCERS TEA DEALERS,Working Proprietor (Retail Trade),,grocer and pork butcher,food_drink,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,"[]; [[77310, np.float32(0.93295014), 'Butcher, General']]",2,"[{'hisco': '[]', 'split_index': 0, 'occupation': 'grocer'}, {'hisco': ""[[77310, np.float32(0.93295014), 'Butcher, General']]"", 'split_index': 1, 'occupation': 'pork butcher'}]"
1911,LINCOLNSHIRE,Female,sack maker and prepairer,588,79990,1,75000,SACKING MANUFACTURE (VARIOUS),"Spinners, Weavers, Knitters, Dyers and Related Workers, Specialisation Unknown",,sack maker and prepairer,other,0.486,False,multiple_occupation_excluded_from_llm_check,['prepairer'],True,"[[79990, np.float32(0.9800672), 'Other Tailors, Dressmakers, Sewers, Upholsterers and Related Workers']]; [[94990, np.float32(0.76605725), 'Other Production and Related Workers Not Elsewhere Classified']]",2,"[{'hisco': ""[[79990, np.float32(0.9800672), 'Other Tailors, Dressmakers, Sewers, Upholsterers and Related Workers']]"", 'split_index': 0, 'occupation': 'sack maker'}, {'hisco': ""[[94990, np.float32(0.76605725), 'Other Production and Related Workers Not Elsewhere Classified']]"", 'split_index': 1, 'occupation': 'prepairer'}]"
1911,LINCOLNSHIRE,Male,higgler and farm labourer,181,62110,1,62105,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED","Farm-Worker, General",,agricultural labourer,agricultural,0.4312027080779881,False,multiple_occupation_excluded_from_llm_check,[],True,"[[98590, np.float32(0.2984651), 'Other MotorVehicle Drivers']]; [[62460, np.float32(0.27699143), 'Horse Worker'], [99910, np.float32(0.26519597), 'Labourer']]",2,"[{'hisco': ""[[98590, np.float32(0.2984651), 'Other MotorVehicle Drivers']]"", 'split_index': 0, 'occupation': 'higgler'}, {'hisco': ""[[62460, np.float32(0.27699143), 'Horse Worker'], [99910, np.float32(0.26519597), 'Labourer']]"", 'split_index': 1, 'occupation': 'farm labourer'}]"
1911,LINCOLNSHIRE,Male,farm labourer and o a pensioner,776,99999,1,99999,RECEIVING OLD AGE PENSION (OCCUPATION OR FORMER OCCUPATION NOT STATED),Unspecified worktitle or several titles,,pensioner agricultural labourer,unemployed_seeking,0.578710229412717,False,multiple_occupation_excluded_from_llm_check,"['o', 'a']",True,"[[62460, np.float32(0.27699143), 'Horse Worker'], [99910, np.float32(0.26519597), 'Labourer']]; [[98130, np.float32(0.33433312), 'Able Seaman']]",2,"[{'hisco': ""[[62460, np.float32(0.27699143), 'Horse Worker'], [99910, np.float32(0.26519597), 'Labourer']]"", 'split_index': 0, 'occupation': 'farm labourer'}, {'hisco': ""[[98130, np.float32(0.33433312), 'Able Seaman']]"", 'split_index': 1, 'occupation': 'o a pensioner'}]"
1911,YORKSHIRE WEST RIDING,Male,iron and steel labouer,243,72400,1,72260,TUBE MANUFACTURE,Seamless Pipe and Tube Roller,,iron and steel labouer,other,0.486,False,multiple_occupation_excluded_from_llm_check,['labouer'],True,"[[72000, np.float32(0.97114235), 'Metal Processor, Specialisation Unknown']]; [[72100, np.float32(0.9890121), 'Metal Smelting, Converting or Refining Furnacemen, Specialisation Unknown']]",2,"[{'hisco': ""[[72000, np.float32(0.97114235), 'Metal Processor, Specialisation Unknown']]"", 'split_index': 0, 'occupation': 'iron'}, {'hisco': ""[[72100, np.float32(0.9890121), 'Metal Smelting, Converting or Refining Furnacemen, Specialisation Unknown']]"", 'split_index': 1, 'occupation': 'steel labouer'}]"
1911,YORKSHIRE WEST RIDING,Male,dyer and finisher of cotton cord,622,75600,1,75622,UNDEFINED TEXTILE DYERS,"Yarn, Fabric or Garment Dyer",complex,dyer and finisher of cotton cord,crafts_trades,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,"[[75600, np.float32(0.41517016), 'Bleachers, Dyers and Textile Product Finishers']]; [[75600, np.float32(0.96827), 'Bleachers, Dyers and Textile Product Finishers']]",2,"[{'hisco': ""[[75600, np.float32(0.41517016), 'Bleachers, Dyers and Textile Product Finishers']]"", 'split_index': 0, 'occupation': 'dyer'}, {'hisco': ""[[75600, np.float32(0.96827), 'Bleachers, Dyers and Textile Product Finishers']]"", 'split_index': 1, 'occupation': 'finisher of cotton cord'}]"
1911,LONDON,Female,infants wool boot maker for cox and farmer,791,99999,1,99999,CHILDREN RELATIVES VISITORS AT HOME,Unspecified worktitle or several titles,,infants wool boot maker for cox and farmer,agricultural,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,"[[13990, np.float32(0.22904444), 'Other Teachers'], [79990, np.float32(0.462577), 'Other Tailors, Dressmakers, Sewers, Upholsterers and Related Workers']]; [[61110, np.float32(0.9184721), 'General Farmer']]",2,"[{'hisco': ""[[13990, np.float32(0.22904444), 'Other Teachers'], [79990, np.float32(0.462577), 'Other Tailors, Dressmakers, Sewers, Upholsterers and Related Workers']]"", 'split_index': 0, 'occupation': 'infants wool boot maker for cox'}, {'hisco': ""[[61110, np.float32(0.9184721), 'General Farmer']]"", 'split_index': 1, 'occupation': 'farmer'}]"
1911,LONDON,Female,help in retail shop and post office pensioner,775,99999,2,99999,"PENSIONERS, SUPERANNUATED",Unspecified worktitle or several titles,,pensioner help in retail shop and postboy office,unemployed_seeking,0.6950322869619289,False,multiple_occupation_excluded_from_llm_check,[],True,"[[94990, np.float32(0.9246484), 'Other Production and Related Workers Not Elsewhere Classified']]; [[37030, np.float32(0.25685564), 'Postman'], [37040, np.float32(0.5259977), 'Messenger']]",2,"[{'hisco': ""[[94990, np.float32(0.9246484), 'Other Production and Related Workers Not Elsewhere Classified']]"", 'split_index': 0, 'occupation': 'help in retail shop'}, {'hisco': ""[[37030, np.float32(0.25685564), 'Postman'], [37040, np.float32(0.5259977), 'Messenger']]"", 'split_index': 1, 'occupation': 'post office pensioner'}]"
1911,LONDON,Male,johnson and phillip arc lamp dept,285,85100,1,85320,ELECTRICAL LAMP MAKERS,Electrical Equipment Assembler,,johnson and phillip arc lamp dept,other,0.6480000000000001,False,multiple_occupation_excluded_from_llm_check,['dept'],True,"[[54090, np.float32(0.37215295), 'Other Maids and Related Housekeeping Service Workers'], [62460, np.float32(0.31346157), 'Horse Worker']]; [[94990, np.float32(0.3035542), 'Other Production and Related Workers Not Elsewhere Classified']]",2,"[{'hisco': ""[[54090, np.float32(0.37215295), 'Other Maids and Related Housekeeping Service Workers'], [62460, np.float32(0.31346157), 'Horse Worker']]"", 'split_index': 0, 'occupation': 'johnson'}, {'hisco': ""[[94990, np.float32(0.3035542), 'Other Production and Related Workers Not Elsewhere Classified']]"", 'split_index': 1, 'occupation': 'phillip arc lamp dept'}]"
