County,Sex,Occode,final_result,Count,Year,Occupation_String,HISCO_x,HISCO_y,Occode_Desc,HISCO_Desc,complexity,standardized,category,confidence,needs_llm_check,confidence_reason,invalid_words,is_multiple_occupation,standardized_llm
ANGLESEY,Female,84,morwyn deuluaid,2,1911,morwyn gyffredin deuluaid,54020,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,,morwyn gyffredin deuluaid,other,0.27,True,unchanged_with_many_invalid_words,"['morwyn', 'gyffredin', 'deuluaid']",False,morwyn gyffredin deuluaid
ANGLESEY,Male,84,butler valet,1,1911,butler valet,54020,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,,butler valet,domestic_service,0.9,False,acceptable_quality,[],False,
BEDFORDSHIRE,Male,438,cabinet maker,119,1911,cabinet maker,81190,81190,FURNITURE AND FITTINGS - OTHERS,Other Cabinetmakers,,cabinet maker,crafts_trades,0.9,False,acceptable_quality,[],False,
BEDFORDSHIRE,Female,700,pickling,1,1911,pickling,77400,77990,MUSTARD VINEGAR SPICE PICKLE MAKERS,Other Food and Beverage Processors,simple,pickling,other,0.9,False,acceptable_quality,[],False,
BEDFORDSHIRE,Male,41,solicitors accountant,1,1911,solicitors accountant,12900,12910,OTHERS CONNECTED WITH LAW,"Jurist (except Lawyer, Judge or Solicitor)",,solicitors accountant,professional_clerical,0.9,False,acceptable_quality,[],False,
BEDFORDSHIRE,Male,181,worker agricultural labourer,1,1911,worker farm labourer,62110,62120,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED",Farm Servant,,worker agricultural labourer,agricultural,0.5880067383656364,False,acceptable_quality,[],False,
BEDFORDSHIRE,Male,368,carter painter,1,1911,cart painter,94990,81920,PERAMBULATOR MAKER,CoachBody Builder,,carter painter,building_construction,0.7349720667806141,False,acceptable_quality,[],False,
BEDFORDSHIRE,Male,409,joiner at bedford workhouse,1,1911,joiner at bedford workhouse,95410,95410,"CARPENTER, JOINER","Carpenter, General",complex,joiner at bedford workhouse,building_construction,0.9,False,acceptable_quality,[],False,
BERKSHIRE,Female,175,farmer daughter,3,1911,farmer daughter,62113,62110,"FARMER'S, GRAZIER'S--SON, DAUGHTER, OR OTHER RELATIVE ASSISTING IN THE WORK OF THE FARM","FarmHelper, General",,farmer daughter,family_dependent,0.9,False,acceptable_quality,[],False,
BERKSHIRE,Male,181,agricultural labourer,3,1911,farm labourer out of work,62110,62105,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED","Farm-Worker, General",,agricultural labourer,agricultural,0.4401581097184949,True,low_confidence,[],False,agricultural labourer
BERKSHIRE,Male,131,retired platelayer,2,1911,retired platelayer,97430,99910,"PLATELAYER, GANGER, PACKER",Labourer,,retired platelayer,unemployed_seeking,0.9,False,acceptable_quality,[],False,
BERKSHIRE,Female,84,domestic servant,1,1911,domestic servant somerset,54020,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,,domestic servant,domestic_service,0.7172577541534161,False,acceptable_quality,[],False,
BERKSHIRE,Male,75,photographers printer,1,1911,photographers printer,16300,16310,PHOTOGRAPHERS,"Photographer, General",,photographers printer,crafts_trades,0.9,False,acceptable_quality,[],False,
BERKSHIRE,Male,118,brewery company director and taner,1,1911,brewery company director and taner,21192,21000,OFFICERS OF COMMERCIAL AND OTHERS COMPANIES,"Manager, Specialisation Unknown",,brewery company director and taner,food_drink,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,
BERKSHIRE,Male,141,late none carman,1,1911,none late carman,98550,98620,CARMEN CARRIERS CARTERS AND DRAYMEN,Animal-Drawn Vehicle Driver (Road),,late none carman,unemployed_seeking,0.87135921570723,False,acceptable_quality,[],False,
BERKSHIRE,Male,765,linoleum maker general labourer,1,1911,linoleum maker general labourer,99130,99910,GENERAL LABOURERS,Labourer,complex,linoleum maker general labourer,general_labour,0.9,False,acceptable_quality,[],False,
BRECKNOCKSHIRE,Female,52,assistant elementary school teacher,1,1911,elementary school teacher assistant,13200,13020,SCHOOLMASTERS AND TEACHERS (DEFAULT),"Teacher, Level and Subject Unknown, Not University and Higher Education Level",,assistant elementary school teacher,professional_clerical,0.8741258757843245,False,acceptable_quality,[],False,
BUCKINGHAMSHIRE,Female,102,girl servant domestic and day,1,1911,servant domestic and day girl,54010,54020,"DAY GIRLS, DAY SERVANTS (OTHER INDOOR)",House Servant,,girl servant domestic and day,domestic_service,0.796599679370576,False,multiple_occupation_excluded_from_llm_check,[],True,
BUCKINGHAMSHIRE,Male,788,housework,1,1911,housework,99999,99999,WIVES AND OTHERS ENGAGED IN (OWN) HOUSEHOLD DUTIES,Unspecified worktitle or several titles,,housework,other,0.9,False,acceptable_quality,[],False,
CAMBRIDGESHIRE,Male,531,apprentice compositor,6,1911,compositor apprentice,92120,92120,HAND COMPOSITORS (DEFAULT),Hand Compositor,,apprentice compositor,other,0.8465759325164964,False,acceptable_quality,[],False,
CAMBRIDGESHIRE,Male,409,joiners machinist,2,1911,joiners machinist,95410,95410,"CARPENTER, JOINER","Carpenter, General",,joiners machinist,building_construction,0.9,False,acceptable_quality,[],False,
CAMBRIDGESHIRE,Female,84,domestic servant parlormaid,1,1911,domestic servant parlormaid,54020,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,,domestic servant parlormaid,domestic_service,0.9,False,acceptable_quality,[],False,
CAMBRIDGESHIRE,Female,181,agricultural labourer except in winter,1,1911,farm labourer except in winter,62110,62105,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED","Farm-Worker, General",,agricultural labourer except in winter,agricultural,0.7046351637146324,False,acceptable_quality,[],False,
CAMBRIDGESHIRE,Female,719,waitress confectionery,1,1911,waitress confectionery,53220,53210,HOTEL WAITERS,"Waiter, General",,waitress confectionery,food_drink,0.9,False,acceptable_quality,[],False,
CAMBRIDGESHIRE,Male,139,horsman,1,1911,horsman,62460,62460,"HORSEKEEPER, GROOM, STABLEMAN (NOT DOMESTIC)",Horse Worker,,horsman,other,0.27,True,unchanged_with_many_invalid_words,['horsman'],False,horsman
CAMBRIDGESHIRE,Male,181,farmer labourer on farm,1,1911,farmers labourer on farm,62110,62105,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED","Farm-Worker, General",,farmer labourer on farm,agricultural,0.8046131521685772,False,acceptable_quality,[],False,
CAMBRIDGESHIRE,Male,720,late hall porter,1,1911,late hall porter pensioner,59990,54090,HOTEL PORTERS BOOTS KNIFEMEN PLATEMEN PLATE CLEANERS POLISHERS (NON-RESIDENT),Other Maids and Related Housekeeping Service Workers,,late hall porter,unemployed_seeking,0.6783770750626771,False,acceptable_quality,[],False,
CAMBRIDGESHIRE,Male,769,apprentice butcher,1,1911,butchers boy apprentice,99150,99999,APPRENTICES,Unspecified worktitle or several titles,,apprentice butcher,food_drink,0.5493526973065842,False,acceptable_quality,[],False,
CARDIGANSHIRE,Male,175,farmer in school son,2,1911,farmers son in school,62113,62110,"FARMER'S, GRAZIER'S--SON, DAUGHTER, OR OTHER RELATIVE ASSISTING IN THE WORK OF THE FARM","FarmHelper, General",,farmer in school son,family_dependent,0.7351289416721213,False,acceptable_quality,[],False,
CARDIGANSHIRE,Male,418,labourer plasterer,2,1911,labourer plasterer,95140,99910,PLASTERER'S LABOURER,Labourer,moderate,labourer plasterer,building_construction,0.9,False,acceptable_quality,[],False,
CARDIGANSHIRE,Female,655,shop keeper draper grocer,1,1911,shop keeper draper grocer,41010,41025,CLOTHIERS & OUTFITTERS (IE DEALERS AND MERCHANTS),Working Proprietor (Wholesale or Retail Trade),,shop keeper draper grocer,food_drink,0.9,False,acceptable_quality,[],False,
CARDIGANSHIRE,Female,659,nydyddes,1,1911,nydyddes,79590,79190,SHIRTMAKERS AND SEAMSTRESSES,Other Tailors and Dressmakers,,nydyddes,other,0.27,True,unchanged_with_many_invalid_words,['nydyddes'],False,nydyddes
CARDIGANSHIRE,Male,177,meistr ar farm,1,1911,meistr ar farm,61400,21230,FARM - BAILIFFS STEWARDS FOREMEN,Farm Manager,,meistr ar farm,other,0.54,True,unchanged_with_some_invalid_words,['meistr'],False,meistr ar farm
CARMARTHENSHIRE,Male,124,insurance agent,116,1911,insurance agent,44120,44120,INSURANCE AGENTS,Insurance Salesman,moderate,insurance agent,professional_clerical,0.9,False,acceptable_quality,[],False,
CARMARTHENSHIRE,Male,246,tinplate workman doubler,1,1911,tinplate workman doubler,72200,72200,TINPLATE  MANUFACTURE,"Metal RollingMill Worker, Specialisation Unknown",,tinplate workman doubler,other,0.9,False,acceptable_quality,[],False,
CARMARTHENSHIRE,Male,248,smelter at the foundry,1,1911,smelter at the foundry,72000,72000,LEAD MANUFACTURE,"Metal Processor, Specialisation Unknown",complex,smelter at the foundry,other,0.9,False,acceptable_quality,[],False,
CARMARTHENSHIRE,Male,772,retired chemical labourer,1,1911,retired chemical workers,99999,99999,RETIRED (NOT ARMY OR NAVY),Unspecified worktitle or several titles,,retired chemical labourer,unemployed_seeking,0.7243916866151572,False,acceptable_quality,[],False,
CARMARTHENSHIRE,Male,791,haulier assisting father,1,1911,haulier assisting father,99999,99999,CHILDREN RELATIVES VISITORS AT HOME,Unspecified worktitle or several titles,,haulier assisting father,family_dependent,0.9,False,acceptable_quality,[],False,
CARNARVONSHIRE,Male,175,farmer assisting on farm son,3,1911,farmers son assisting on farm,62113,62110,"FARMER'S, GRAZIER'S--SON, DAUGHTER, OR OTHER RELATIVE ASSISTING IN THE WORK OF THE FARM","FarmHelper, General",,farmer assisting on farm son,family_dependent,0.7754645027167804,False,acceptable_quality,[],False,
CARNARVONSHIRE,Male,43,assistand,1,1911,assistand,6200,6420,DENTISTS AND DENTISTS ASSISTANTS,Dental Assistant,simple,assistand,other,0.27,True,unchanged_with_many_invalid_words,['assistand'],False,assistand
CARNARVONSHIRE,Male,84,valet to mr hemebryk,1,1911,valet to mr hemebryk,54020,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,,valet to mr hemebryk,other,0.54,True,unchanged_with_some_invalid_words,['hemebryk'],False,valet to mr hemebryk
