County,Sex,Occode,final_result,Count,Year,Occupation_String,HISCO_x,HISCO_y,Occode_Desc,HISCO_Desc,complexity,standardized,category,confidence,needs_llm_check,confidence_reason,invalid_words,is_multiple_occupation,standardized_llm,OccCANINE_Check
ANGLESEY,Female,84,morwyn deuluaid,2,1911,morwyn gyffredin deuluaid,54020,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,,morwyn gyffredin deuluaid,other,0.27,True,unchanged_with_many_invalid_words,"['morwyn', 'gyffredin', 'deuluaid']",False,morwyn gyffredin deuluaid,"[[54020, np.float32(0.9672501), 'House Servant']]"
ANGLESEY,Male,84,butler valet,1,1911,butler valet,54020,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,,butler valet,domestic_service,0.9,False,acceptable_quality,[],False,,"[[54020, np.float32(0.70875967), 'House Servant']]"
BEDFORDSHIRE,Male,438,cabinet maker,119,1911,cabinet maker,81190,81190,FURNITURE AND FITTINGS - OTHERS,Other Cabinetmakers,,cabinet maker,crafts_trades,0.9,False,acceptable_quality,[],False,,"[[81120, np.float32(0.99001336), 'Cabinetmaker']]"
BEDFORDSHIRE,Female,700,pickling,1,1911,pickling,77400,77990,MUSTARD VINEGAR SPICE PICKLE MAKERS,Other Food and Beverage Processors,simple,pickling,other,0.9,False,acceptable_quality,[],False,,"[[54090, np.float32(0.51359475), 'Other Maids and Related Housekeeping Service Workers'], [94990, np.float32(0.22838365), 'Other Production and Related Workers Not Elsewhere Classified']]"
BEDFORDSHIRE,Male,41,solicitors accountant,1,1911,solicitors accountant,12900,12910,OTHERS CONNECTED WITH LAW,"Jurist (except Lawyer, Judge or Solicitor)",,solicitors accountant,professional_clerical,0.9,False,acceptable_quality,[],False,,"[[11010, np.float32(0.80327255), 'Accountant, General']]"
BEDFORDSHIRE,Male,181,worker agricultural labourer,1,1911,worker farm labourer,62110,62120,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED",Farm Servant,,worker agricultural labourer,agricultural,0.5880067383656364,False,acceptable_quality,[],False,,"[[72000, np.float32(0.84371114), 'Metal Processor, Specialisation Unknown']]"
BEDFORDSHIRE,Male,368,carter painter,1,1911,cart painter,94990,81920,PERAMBULATOR MAKER,CoachBody Builder,,carter painter,building_construction,0.7349720667806141,False,acceptable_quality,[],False,,"[[98590, np.float32(0.90467244), 'Other MotorVehicle Drivers']]"
BEDFORDSHIRE,Male,409,joiner at bedford workhouse,1,1911,joiner at bedford workhouse,95410,95410,"CARPENTER, JOINER","Carpenter, General",complex,joiner at bedford workhouse,building_construction,0.9,False,acceptable_quality,[],False,,"[[31090, np.float32(0.5623603), 'Government Executive Officials Not Elsewhere Classified']]"
BERKSHIRE,Female,175,farmer daughter,3,1911,farmer daughter,62113,62110,"FARMER'S, GRAZIER'S--SON, DAUGHTER, OR OTHER RELATIVE ASSISTING IN THE WORK OF THE FARM","FarmHelper, General",,farmer daughter,family_dependent,0.9,False,acceptable_quality,[],False,,"[[14120, np.float32(0.22003068), 'Minister of Religion'], [83520, np.float32(0.31620324), 'Buffing and PolishingMachine Operator']]"
BERKSHIRE,Male,181,agricultural labourer,3,1911,farm labourer out of work,62110,62105,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED","Farm-Worker, General",,agricultural labourer,agricultural,0.4401581097184949,True,low_confidence,[],False,agricultural labourer,[]
