Year,County,Sex,Occupation_String,Occode,HISCO_x,Count,HISCO_y,Occode_Desc,HISCO_Desc,complexity,standardized,category,confidence,needs_llm_check,confidence_reason,invalid_words,is_multiple_occupation
1911,GLOUCESTERSHIRE,Male,overloopes,715,77880,1,77890,BEER BOTTLERS,"Other Brewers, Wine and Beverage Makers",simple,overloopes,other,0.27,True,unchanged_with_many_invalid_words,['overloopes'],False
1911,GLAMORGANSHIRE,Female,barmiad,717,53230,1,53250,BARMEN (NOT IN SERVICE),Bartender,simple,barmiad,other,0.27,True,unchanged_with_many_invalid_words,['barmiad'],False
1911,LINCOLNSHIRE,Female,dfressmaking,657,79130,1,79140,DRESSMAKERS,Dressmaker,simple,dfressmaking,other,0.27,True,unchanged_with_many_invalid_words,['dfressmaking'],False
1911,WORCESTERSHIRE,Female,laundrays,105,56000,1,56010,"LAUNDRY WORKER: WASHER, IRONER, MANGLER, ETC. (NOT DOMESTIC)","Launderer,  General",simple,laundrays,other,0.27,True,unchanged_with_many_invalid_words,['laundrays'],False
1911,YORKSHIRE WEST RIDING,Male,gr,698,41010,1,41030,GREENGROCERS FRUITERERS POTATO DEALERS,Working Proprietor (Retail Trade),simple,gr,agricultural,0.27,True,unchanged_with_many_invalid_words,['gr'],False
1911,YORKSHIRE WEST RIDING,Female,vitriot,999,-1,1,0,,,simple,vitriot,other,0.27,True,unchanged_with_many_invalid_words,['vitriot'],False
1911,YORKSHIRE WEST RIDING,Male,joinerbuilding,409,95410,1,95410,"CARPENTER, JOINER","Carpenter, General",simple,joinerbuilding,building_construction,0.27,True,unchanged_with_many_invalid_words,['joinerbuilding'],False
1911,YORKSHIRE WEST RIDING,Female,beernister silber,467,89200,1,89210,"EARTHENWARE, CHINA, PORCELAIN--MANUFACTURE","Potter, General",,beernister silber,other,0.27,True,unchanged_with_many_invalid_words,"['beernister', 'silber']",False
1911,LONDON,Female,managerass,713,51020,1,51020,"INNKEEPERS, HOTEL KEEPERS AND PUBLICANS",Working Proprietor (Hotel and Restaurant),simple,managerass,other,0.27,True,unchanged_with_many_invalid_words,['managerass'],False
1911,LONDON,Female,marnell,597,79990,1,75922,TRIMMING MAKERS,Braid Maker (Hand or Machine),simple,marnell,other,0.27,True,unchanged_with_many_invalid_words,['marnell'],False
1911,LONDON,Male,rivvesion,468,89120,1,89148,"SHEET, PLATE--GLASS MANUFACTURE",Plate-Glass Polisher,simple,rivvesion,other,0.27,True,unchanged_with_many_invalid_words,['rivvesion'],False
1911,LONDON,Female,hemstitsher,659,79590,1,79510,SHIRTMAKERS AND SEAMSTRESSES,"Hand and Machine Sewer, General",simple,hemstitsher,other,0.27,True,unchanged_with_many_invalid_words,['hemstitsher'],False
1911,LONDON,Male,labourer g n rly,132,98490,2,99910,RAILWAY LABOURER (NOT RAILWAY CONTRACTOR'S LABOURER),Labourer,,labourer g n rly,general_labour,0.27,True,unchanged_with_many_invalid_words,"['g', 'n', 'rly']",False
1911,LONDON,Male,draightsman,279,84190,1,84190,DOMESTIC MACHINERY MAKERS,Other Machinery Fitters and Machine Assemblers,simple,draightsman,other,0.27,True,unchanged_with_many_invalid_words,['draightsman'],False
1911,LONDON,Male,strippen,526,81730,1,91025,CARDBOARD BOX MAKER,Paper Box Maker (Hand or Machine),simple,strippen,other,0.27,True,unchanged_with_many_invalid_words,['strippen'],False
1911,LONDON,Female,musicpublisher,544,21194,1,41030,"MUSIC PUBLISHERS, MUSIC SELLERS",Working Proprietor (Retail Trade),simple,musicpublisher,other,0.27,True,unchanged_with_many_invalid_words,['musicpublisher'],False
1911,LONDON,Male,trarsler,114,43090,1,43200,COMMERCIAL TRAVELLERS AND MANUFACTURERS' AGENTS,Commercial Travellers and Manufacturers Agents,simple,trarsler,other,0.27,True,unchanged_with_many_invalid_words,['trarsler'],False
1911,LONDON,Unknown,anny,20,58430,1,58340,SOLDIERS AND NON-COMMISSIONED OFFICERS,Other Military Ranks,,anny,other,0.27,True,unchanged_with_many_invalid_words,['anny'],False
1911,LONDON,Male,asst jewellrey,16,19100,1,19120,LIBRARIANS,Librarian,,asst jewellrey,other,0.27,True,unchanged_with_many_invalid_words,"['asst', 'jewellrey']",False
1911,LONDON,Male,mountcutter,756,39100,1,39960,"RECEIVING SHOP, RECEIVING OFFICE, KEEPERS, ASSISTANTS",Railway Clerk,simple,mountcutter,other,0.27,True,unchanged_with_many_invalid_words,['mountcutter'],False
1911,LONDON,Female,salewwoman,650,79320,1,79310,MILLINERS (NOT RETAIL - WORKSHOP/FACTORY),"Hat Maker, General",simple,salewwoman,other,0.27,True,unchanged_with_many_invalid_words,['salewwoman'],False
1911,LONDON,Female,massuse,109,54090,2,54090,OTHERS IN SERVICE,Other Maids and Related Housekeeping Service Workers,simple,massuse,other,0.27,True,unchanged_with_many_invalid_words,['massuse'],False
1911,LONDON,Female,pensioner p o,2,37020,1,37090,OTHER POST OFFICE OFFICERS AND CLERKS,Other Mail Distribution Clerks,moderate,pensioner p o,unemployed_seeking,0.27,True,unchanged_with_many_invalid_words,"['p', 'o']",False
1911,LONDON,Female,lampfactory,317,83890,1,83990,"LAMP, LANTERN, CANDLESTICK--MAKER","Other Blacksmiths, Toolmakers and MachineTool Operators Not Elsewhere Classified",simple,lampfactory,professional_clerical,0.27,True,unchanged_with_many_invalid_words,['lampfactory'],False
1911,LONDON,Female,hallmaid,108,54010,1,54010,SERVANTS - UNDEFINED (NON-RESIDENT),"Domestic Servant, General",,hallmaid,other,0.27,True,unchanged_with_many_invalid_words,['hallmaid'],False
