record_id,original_hisco,enhanced_input,original_occupation,sex,county,count
0,54020,Female morwyn deuluaid in Anglesey,morwyn deuluaid,Female,ANGLESEY,2
1,54020,Male butler valet in Anglesey,butler valet,Male,ANGLESEY,1
2,81190,Male cabinet maker in Bedfordshire,cabinet maker,Male,BEDFORDSHIRE,119
3,77400,Female pickling in Bedfordshire,pickling,Female,BEDFORDSHIRE,1
4,12900,Male solicitors accountant in Bedfordshire,solicitors accountant,Male,BEDFORDSHIRE,1
5,62110,Male worker agricultural labourer in Bedfordshire,worker agricultural labourer,Male,BEDFORDSHIRE,1
6,94990,Male carter painter in Bedfordshire,carter painter,Male,BEDFORDSHIRE,1
7,95410,Male joiner at bedford workhouse in Bedfordshire,joiner at bedford workhouse,Male,BEDFORDSHIRE,1
8,62113,Female farmer daughter in Berkshire,farmer daughter,Female,BERKSHIRE,3
9,62110,Male agricultural labourer in Berkshire,agricultural labourer,Male,BERKSHIRE,3
10,97430,Male retired platelayer in Berkshire,retired platelayer,Male,BERKSHIRE,2
11,54020,Female domestic servant in Berkshire,domestic servant,Female,BERKSHIRE,1
12,16300,Male photographers printer in Berkshire,photographers printer,Male,BERKSHIRE,1
13,21192,Male brewery company director and taner in Berkshire,brewery company director and taner,Male,BERKSHIRE,1
14,98550,Male late none carman in Berkshire,late none carman,Male,BERKSHIRE,1
15,99130,Male linoleum maker general labourer in Berkshire,linoleum maker general labourer,Male,BERKSHIRE,1
16,13200,Female assistant elementary school teacher in Brecknockshire,assistant elementary school teacher,Female,BRECKNOCKSHIRE,1
17,54010,Female girl servant domestic and day in Buckinghamshire,girl servant domestic and day,Female,BUCKINGHAMSHIRE,1
18,99999,Male housework in Buckinghamshire,housework,Male,BUCKINGHAMSHIRE,1
19,92120,Male apprentice compositor in Cambridgeshire,apprentice compositor,Male,CAMBRIDGESHIRE,6
20,95410,Male joiners machinist in Cambridgeshire,joiners machinist,Male,CAMBRIDGESHIRE,2
21,54020,Female domestic servant parlormaid in Cambridgeshire,domestic servant parlormaid,Female,CAMBRIDGESHIRE,1
22,62110,Female agricultural labourer except in winter in Cambridgeshire,agricultural labourer except in winter,Female,CAMBRIDGESHIRE,1
23,53220,Female waitress confectionery in Cambridgeshire,waitress confectionery,Female,CAMBRIDGESHIRE,1
24,62460,Male horsman in Cambridgeshire,horsman,Male,CAMBRIDGESHIRE,1
25,62110,Male farmer labourer on farm in Cambridgeshire,farmer labourer on farm,Male,CAMBRIDGESHIRE,1
26,59990,Male late hall porter in Cambridgeshire,late hall porter,Male,CAMBRIDGESHIRE,1
27,99150,Male apprentice butcher in Cambridgeshire,apprentice butcher,Male,CAMBRIDGESHIRE,1
28,62113,Male farmer in school son in Cardiganshire,farmer in school son,Male,CARDIGANSHIRE,2
29,95140,Male labourer plasterer in Cardiganshire,labourer plasterer,Male,CARDIGANSHIRE,2
30,41010,Female shop keeper draper grocer in Cardiganshire,shop keeper draper grocer,Female,CARDIGANSHIRE,1
31,79590,Female nydyddes in Cardiganshire,nydyddes,Female,CARDIGANSHIRE,1
32,61400,Male meistr ar farm in Cardiganshire,meistr ar farm,Male,CARDIGANSHIRE,1
33,44120,Male insurance agent in Carmarthenshire,insurance agent,Male,CARMARTHENSHIRE,116
34,72200,Male tinplate workman doubler in Carmarthenshire,tinplate workman doubler,Male,CARMARTHENSHIRE,1
35,72000,Male smelter at the foundry in Carmarthenshire,smelter at the foundry,Male,CARMARTHENSHIRE,1
36,99999,Male retired chemical labourer in Carmarthenshire,retired chemical labourer,Male,CARMARTHENSHIRE,1
37,99999,Male haulier assisting father in Carmarthenshire,haulier assisting father,Male,CARMARTHENSHIRE,1
38,62113,Male farmer assisting on farm son in Carnarvonshire,farmer assisting on farm son,Male,CARNARVONSHIRE,3
39,6200,Male assistand in Carnarvonshire,assistand,Male,CARNARVONSHIRE,1
40,54020,Male valet to mr hemebryk in Carnarvonshire,valet to mr hemebryk,Male,CARNARVONSHIRE,1
41,97430,Male plate layer on railway in Carnarvonshire,plate layer on railway,Male,CARNARVONSHIRE,1
42,71130,Male certiwr mewn chwarel lechi in Carnarvonshire,certiwr mewn chwarel lechi,Male,CARNARVONSHIRE,1
43,95110,Male builders stone mason in Carnarvonshire,builders stone mason,Male,CARNARVONSHIRE,1
44,93120,Male apprentice painter in Carnarvonshire,apprentice painter,Male,CARNARVONSHIRE,1
45,41010,Male retired fruiterer in Carnarvonshire,retired fruiterer,Male,CARNARVONSHIRE,1
46,74320,Male ashphaller in Carnarvonshire,ashphaller,Male,CARNARVONSHIRE,1
47,99999,Male retired college goods buyer in Carnarvonshire,retired college goods buyer,Male,CARNARVONSHIRE,1
48,62110,Male agricultural labourer in Cheshire,agricultural labourer,Male,CHESHIRE,44
49,95110,Male apprentice stone mason in Cheshire,apprentice stone mason,Male,CHESHIRE,3
50,41010,Female confectioner in Cheshire,confectioner,Female,CHESHIRE,2
51,56000,Male manager steam laundry in Cheshire,manager steam laundry,Male,CHESHIRE,2
52,92800,Male calico printer labourer in Cheshire,calico printer labourer,Male,CHESHIRE,2
53,41010,Male wholesale confectioner dealer in Cheshire,wholesale confectioner dealer,Male,CHESHIRE,2
54,37020,Female assistant porter office in Cheshire,assistant porter office,Female,CHESHIRE,1
55,37020,Female subjectmistress in Cheshire,subjectmistress,Female,CHESHIRE,1
56,7220,Female hosp nurse in Cheshire,hosp nurse,Female,CHESHIRE,1
57,56000,Female laundry maid in Cheshire,laundry maid,Female,CHESHIRE,1
58,75000,Female shirt maker at a factory in Cheshire,shirt maker at a factory,Female,CHESHIRE,1
59,75500,Female hosiery linker in Cheshire,hosiery linker,Female,CHESHIRE,1
60,39310,Male clerk wheelwright in Cheshire,clerk wheelwright,Male,CHESHIRE,1
61,4290,Male canal companys banksman repairer in Cheshire,canal companys banksman repairer,Male,CHESHIRE,1
62,97190,Male coal porter shiper in Cheshire,coal porter shiper,Male,CHESHIRE,1
63,37040,Male boy general errand in Cheshire,boy general errand,Male,CHESHIRE,1
64,37040,Male boy in music depot errand in Cheshire,boy in music depot errand,Male,CHESHIRE,1
65,61400,Male working bailiff on farm in Cheshire,working bailiff on farm,Male,CHESHIRE,1
66,71130,Male laborer now incompacity brough accident by earth falling in clay pitat a brick in Cheshire,laborer now incompacity brough accident by earth falling in clay pitat a brick,Male,CHESHIRE,1
67,83400,Male iron driller loco rly engines in Cheshire,iron driller loco rly engines,Male,CHESHIRE,1
68,87130,Male wales chemist producer gas in Cheshire,wales chemist producer gas,Male,CHESHIRE,1
69,74500,Male labourer vacuum oil co in Cheshire,labourer vacuum oil co,Male,CHESHIRE,1
