Year,County,Sex,Occupation_String,Occode,HISCO_x,Count,HISCO_y,Occode_Desc,HISCO_Desc,complexity,standardized,category,confidence,needs_llm_check,confidence_reason,invalid_words,is_multiple_occupation,final_result,standardized_llm
1911,CARMARTHENSHIRE,Male,retired chemical workers,772,99999,1,99999,RETIRED (NOT ARMY OR NAVY),Unspecified worktitle or several titles,,retired chemical labourer,unemployed_seeking,0.7243916866151572,False,acceptable_quality,[],False,retired chemical labourer,
1911,CARMARTHENSHIRE,Male,insurance agent,124,44120,116,44120,INSURANCE AGENTS,Insurance Salesman,moderate,insurance agent,professional_clerical,0.9,False,acceptable_quality,[],False,insurance agent,
1911,CARMARTHENSHIRE,Male,haulier assisting father,791,99999,1,99999,CHILDREN RELATIVES VISITORS AT HOME,Unspecified worktitle or several titles,,haulier assisting father,family_dependent,0.9,False,acceptable_quality,[],False,haulier assisting father,
1911,CARMARTHENSHIRE,Male,tinplate workman doubler,246,72200,1,72200,TINPLATE  MANUFACTURE,"Metal RollingMill Worker, Specialisation Unknown",,tinplate workman doubler,other,0.9,False,acceptable_quality,[],False,tinplate workman doubler,
1911,CARMARTHENSHIRE,Male,smelter at the foundry,248,72000,1,72000,LEAD MANUFACTURE,"Metal Processor, Specialisation Unknown",complex,smelter at the foundry,other,0.9,False,acceptable_quality,[],False,smelter at the foundry,
1911,GLOUCESTERSHIRE,Male,bakers carman,692,41010,1,41025,BISCUIT CAKE DEALERS (CONFECTIONISTS),Working Proprietor (Wholesale or Retail Trade),,baker carman,food_drink,0.7289307345236098,False,acceptable_quality,[],False,baker carman,
1911,GLOUCESTERSHIRE,Male,golf proffesional,81,59990,1,18090,BILLIARDS CRICKET AND OTHER GAMES SERVICE,"Other Athletes, Sportsmen and Related Workers",,golf proffesional,other,0.54,True,unchanged_with_some_invalid_words,['proffesional'],False,golf professional,golf proffesional
1911,GLOUCESTERSHIRE,Male,collier repairer ofroad,198,71120,1,71105,COAL MINERS - OTHERS BELOW GROUND & UNDEFINED,"Miner, General",moderate,collier repairer ofroad,other,0.54,True,unchanged_with_some_invalid_words,['ofroad'],False,collier road repairer,collier repairer ofroad
1911,GLOUCESTERSHIRE,Male,stoker imperial job co,723,87130,1,74925,GAS WORKS SERVICE,Coal-Gas Maker,complex,stoker imperial job co,transport_communication,0.9,False,acceptable_quality,[],False,stoker imperial job co,
1911,GLOUCESTERSHIRE,Male,fitter as fosters bros seed,263,84130,1,84105,"FITTERS, TURNERS (ENGINE AND MACHINE)","Machinery Fitter, General",,fitter as fosters bros seed,other,0.7200000000000001,False,unchanged_with_few_invalid_words,['bros'],False,fitter as fosters bros seed,
1911,GLOUCESTERSHIRE,Male,ladies tailor,653,79120,21,79100,TAILORS (NOT MERCHANTS) - DEFAULT,"Tailor, Specialisation Unknown",,ladies tailor,clothing_footwear,0.9,False,acceptable_quality,[],False,ladies tailor,
1911,GLOUCESTERSHIRE,Male,stone dresser road pitching,226,82000,1,82020,STONE CUTTERS DRESSERS,Stone Cutter and Finisher,,stone dresser road pitching,other,0.9,False,acceptable_quality,[],False,stone dresser road pitching,
1911,GLOUCESTERSHIRE,Male,farrier visitor,262,83120,1,83110,BLACKSMITHS,"Blacksmith, General",,farrier visitor,other,0.9,False,acceptable_quality,[],False,farrier visitor,
1911,GLOUCESTERSHIRE,Male,at home former masons labourer,415,95110,1,99910,MASON'S LABOURER,Labourer,,former at home mason labourer,unemployed_seeking,0.7495475222875554,False,acceptable_quality,[],False,former at home mason labourer,
1911,GLOUCESTERSHIRE,Female,machinist corset manufactory,771,83400,1,83410,MACHINISTS MACHINE WORKERS UNDEFINED,"MachineTool Operator, General",,machinist corset manufactory,metalwork_engineering,0.9,False,acceptable_quality,[],False,machinist corset manufactory,
1911,GLOUCESTERSHIRE,Male,overloopes,715,77880,1,77890,BEER BOTTLERS,"Other Brewers, Wine and Beverage Makers",simple,overloopes,other,0.27,True,unchanged_with_many_invalid_words,['overloopes'],False,overloopes,overloopes
1911,GLOUCESTERSHIRE,Male,trades mans and at home,108,54010,1,54010,SERVANTS - UNDEFINED (NON-RESIDENT),"Domestic Servant, General",complex,trades mans and at home,other,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,trades mans and at home,
1911,GLOUCESTERSHIRE,Male,retired unestablished postman,3,37030,1,37030,POSTMEN,Postman,,retired unestablished postman,unemployed_seeking,0.9,False,acceptable_quality,[],False,retired unestablished postman,
1911,GLOUCESTERSHIRE,Male,foreman steam ship,164,21160,1,41040,SHIP AND BOAT OWNERS,Working Proprietor (Hiring Out),,foreman steam shipwright,crafts_trades,0.7295837580454616,False,acceptable_quality,[],False,foreman steam shipwright,
1911,GLOUCESTERSHIRE,Male,seconhand bookseller,543,21194,1,19120,"PUBLISHERS, BOOKSELLERS AND LIBRARIANS (EXCEPT PUBLIC LIBRARIANS)",Librarian,,seconhand bookseller,other,0.54,True,unchanged_with_some_invalid_words,['seconhand'],False,secondhand bookseller,seconhand bookseller
1911,GLAMORGANSHIRE,Male,wood coster winder estate,182,63110,1,63110,WOODMAN,Logger (General),,wood coster winder estate,other,0.9,False,acceptable_quality,[],False,wood coster winder estate,
1911,GLAMORGANSHIRE,Female,school at home,787,99999,1,99999,SCHOLARS ETC,Unspecified worktitle or several titles,,school at home,other,0.9,False,acceptable_quality,[],False,school at home,
1911,GLAMORGANSHIRE,Female,barmiad,717,53230,1,53250,BARMEN (NOT IN SERVICE),Bartender,simple,barmiad,other,0.27,True,unchanged_with_many_invalid_words,['barmiad'],False,barmiad,barmiad
1911,GLAMORGANSHIRE,Male,manager of colliery co,201,2700,1,2710,MINE SERVICE ENGINEERS,"Mining Engineer, General",,manager of colliery co,other,0.9,False,acceptable_quality,[],False,manager of colliery co,
1911,GLAMORGANSHIRE,Male,kilkarn on farm,180,62460,1,62460,"AGRICULTURAL LABOURER, FARM SERVANT--DISTINGUISHED AS IN CHARGE OF HORSES",Horse Worker,moderate,kilkarn on farm,other,0.54,True,unchanged_with_some_invalid_words,['kilkarn'],False,kilkarne on farm,kilkarn on farm
1911,GLAMORGANSHIRE,Female,housekeeper general servant domestic,84,54020,1,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,,housekeeper general servant domestic,domestic_service,0.9,False,acceptable_quality,[],False,housekeeper general servant domestic,
1911,GLAMORGANSHIRE,Male,night hitcher below ground,198,71120,1,71105,COAL MINERS - OTHERS BELOW GROUND & UNDEFINED,"Miner, General",,night hitcher below ground,other,0.9,False,acceptable_quality,[],False,night hitcher below ground,
1911,GLAMORGANSHIRE,Male,underground haulier in coal mine,142,98590,1,98630,HAULIERS (MINE),Animal‑Drawn Vehicle Driver (Mine and Quarry),,underground haulier in coal mine,other,0.9,False,acceptable_quality,[],False,underground haulier in coal mine,
1911,GLAMORGANSHIRE,Male,ill collier hewer,196,71120,2,71105,"COAL MINERS - HEWERS, WORKERS AT THE COAL FACE","Miner, General",,ill collier hewer,other,0.9,False,acceptable_quality,[],False,ill collier hewer,
1911,GLAMORGANSHIRE,Male,goal meiner hewer,196,71120,1,71105,"COAL MINERS - HEWERS, WORKERS AT THE COAL FACE","Miner, General",,goal meiner hewer,other,0.9,False,acceptable_quality,[],False,goal meiner hewer,
1911,GLAMORGANSHIRE,Male,caisson man in dry dock,167,97190,1,98940,"HARBOUR, DOCK, WHARF, LIGHTHOUSE--OFFICIALS AND SERVANTS",Lighthouse-Man,,caisson man in dry dock,other,0.9,False,acceptable_quality,[],False,caisson man in dry dock,
1911,GLAMORGANSHIRE,Female,daughter,791,99999,24,99999,CHILDREN RELATIVES VISITORS AT HOME,Unspecified worktitle or several titles,,daughter,family_dependent,0.9,False,acceptable_quality,[],False,daughter,
1911,GLAMORGANSHIRE,Female,domc servant,84,54020,2,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,,domestic servant,domestic_service,0.8536633775918118,False,acceptable_quality,[],False,domestic servant,
1911,GLAMORGANSHIRE,Female,generall servant,84,54020,1,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,,generall servant,domestic_service,0.9,False,acceptable_quality,[],False,generall servant,
1911,WORCESTERSHIRE,Female,factory fire clay,230,71130,1,71190,SAND FLINT CLAY GRAVEL CHALK WORKERS,Other Miners and Quarrymen,,factory fire clay,professional_clerical,0.9,False,acceptable_quality,[],False,factory fire clay,
1911,WORCESTERSHIRE,Male,farm labourer man,181,62110,1,62120,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED",Farm Servant,moderate,agricultural labourer,agricultural,0.4922891184050834,True,low_confidence,[],False,agricultural labourer,agricultural labourer
1911,WORCESTERSHIRE,Male,caretaker of savage works,97,55100,1,55290,"CARETAKER, OFFICE KEEPERS (NOT GOVERNMENT) - SCHOOL CLEANERS,CARETAKERS","Other Charworkers, Cleaners and Related Workers",,caretaker of savage works,other,0.9,False,acceptable_quality,[],False,caretaker of savage works,
1911,WORCESTERSHIRE,Male,mirror trade glass silverer,470,89120,1,89190,OTHER WORKERS IN GLASS MANUFACTURE,"Other Glass Formers, Cutters, Grinders and Finishers",,mirror trade glass silverer,other,0.9,False,acceptable_quality,[],False,mirror trade glass silverer,
