Year,County,Sex,Occupation_String,Occode,HISCO_x,Count,HISCO_y,Occode_Desc,HISCO_Desc,complexity,standardized,category,confidence,needs_llm_check,confidence_reason,invalid_words,is_multiple_occupation,all_predicted_hisco,prediction_count,prediction_details
1861,YORKSHIRE EAST RIDING,Male,letter carrier and cordwainer,3,37030,1,37030,POSTMEN,Postman,complex,letter carrier and cordwainer,clothing_footwear,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,"[[37030, np.float32(0.9805596), 'Postman']]; [[94990, np.float32(0.39206454), 'Other Production and Related Workers Not Elsewhere Classified']]",2,"[{'hisco': ""[[37030, np.float32(0.9805596), 'Postman']]"", 'split_index': 0, 'occupation': 'letter carrier'}, {'hisco': ""[[94990, np.float32(0.39206454), 'Other Production and Related Workers Not Elsewhere Classified']]"", 'split_index': 1, 'occupation': 'cordwainer'}]"
1861,YORKSHIRE EAST RIDING,Male,master carpenter employing men and boys,409,95410,1,95410,"CARPENTER, JOINER","Carpenter, General",,master carpenter employing men and boys,building_construction,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,"[]; [[54090, np.float32(0.37359062), 'Other Maids and Related Housekeeping Service Workers']]",2,"[{'hisco': '[]', 'split_index': 0, 'occupation': 'master carpenter men'}, {'hisco': ""[[54090, np.float32(0.37359062), 'Other Maids and Related Housekeeping Service Workers']]"", 'split_index': 1, 'occupation': 'boys'}]"
1861,YORKSHIRE EAST RIDING,Male,coach maker employ men and boys,365,81300,1,87370,"COACH, CARRIAGE--MAKER",Vehicle Sheet-Metal Worker,,coachmaker maker employ men and boys,crafts_trades,0.7363391858673934,False,multiple_occupation_excluded_from_llm_check,[],True,"[[94990, np.float32(0.66773677), 'Other Production and Related Workers Not Elsewhere Classified']]; [[54090, np.float32(0.37359062), 'Other Maids and Related Housekeeping Service Workers']]",2,"[{'hisco': ""[[94990, np.float32(0.66773677), 'Other Production and Related Workers Not Elsewhere Classified']]"", 'split_index': 0, 'occupation': 'coach maker employ men'}, {'hisco': ""[[54090, np.float32(0.37359062), 'Other Maids and Related Housekeeping Service Workers']]"", 'split_index': 1, 'occupation': 'boys'}]"
1861,LANCASHIRE,Male,clagg and patten maker,430,97490,2,97400,POND RESERVOIR MAKERS,"Excavator, Specialisation Unknown",,clagg and patten maker,other,0.486,False,multiple_occupation_excluded_from_llm_check,['clagg'],True,"[[54090, np.float32(0.5016844), 'Other Maids and Related Housekeeping Service Workers']]; [[80390, np.float32(0.59298337), 'Other Leather Goods Makers']]",2,"[{'hisco': ""[[54090, np.float32(0.5016844), 'Other Maids and Related Housekeeping Service Workers']]"", 'split_index': 0, 'occupation': 'clagg'}, {'hisco': ""[[80390, np.float32(0.59298337), 'Other Leather Goods Makers']]"", 'split_index': 1, 'occupation': 'patten maker'}]"
1861,LANCASHIRE,Male,handloom weaver of cotton and farmer of  acre,173,61110,1,61110,"FARMER, GRAZIER",General Farmer,,handloom weaver of cotton and farmer of acre,agricultural,0.8046766718704138,False,multiple_occupation_excluded_from_llm_check,[],True,"[[75400, np.float32(0.9600923), 'Weaver, Specialisation Unknown']]; [[61110, np.float32(0.93907964), 'General Farmer']]",2,"[{'hisco': ""[[75400, np.float32(0.9600923), 'Weaver, Specialisation Unknown']]"", 'split_index': 0, 'occupation': 'handloom weaver of cotton'}, {'hisco': ""[[61110, np.float32(0.93907964), 'General Farmer']]"", 'split_index': 1, 'occupation': 'farmer of acre'}]"
1861,LANCASHIRE,Male,servant to the chorley commissioner and agent,117,44330,1,3090,SURVEYORS (HOUSE AGENTS),Other Surveyors,,servant to the chorley commissioner and agent,domestic_service,0.6480000000000001,False,multiple_occupation_excluded_from_llm_check,['chorley'],True,"[[62120, np.float32(0.77328587), 'Farm Servant']]; [[44120, np.float32(0.8329461), 'Insurance Salesman']]",2,"[{'hisco': ""[[62120, np.float32(0.77328587), 'Farm Servant']]"", 'split_index': 0, 'occupation': 'servant to the chorley commissioner'}, {'hisco': ""[[44120, np.float32(0.8329461), 'Insurance Salesman']]"", 'split_index': 1, 'occupation': 'agent'}]"
1861,LANCASHIRE,Male,farmer  acres and agricultural labourer,173,61110,1,61110,"FARMER, GRAZIER",General Farmer,,farmer acres and agricultural labourer,agricultural,0.8038389265332184,False,multiple_occupation_excluded_from_llm_check,[],True,"[[61110, np.float32(0.8884353), 'General Farmer']]; []",2,"[{'hisco': ""[[61110, np.float32(0.8884353), 'General Farmer']]"", 'split_index': 0, 'occupation': 'farmer acres'}, {'hisco': '[]', 'split_index': 1, 'occupation': 'agricultural labourer'}]"
1861,NOTTINGHAMSHIRE,Female,proprieter of houses and land,117,44330,1,3090,SURVEYORS (HOUSE AGENTS),Other Surveyors,complex,proprieter of houses and land,other,0.6480000000000001,False,multiple_occupation_excluded_from_llm_check,['proprieter'],True,"[[51020, np.float32(0.2441672), 'Working Proprietor (Hotel and Restaurant)'], [54090, np.float32(0.27449757), 'Other Maids and Related Housekeeping Service Workers']]; [[44330, np.float32(0.89063114), 'Appraiser']]",2,"[{'hisco': ""[[51020, np.float32(0.2441672), 'Working Proprietor (Hotel and Restaurant)'], [54090, np.float32(0.27449757), 'Other Maids and Related Housekeeping Service Workers']]"", 'split_index': 0, 'occupation': 'proprieter of houses'}, {'hisco': ""[[44330, np.float32(0.89063114), 'Appraiser']]"", 'split_index': 1, 'occupation': 'land'}]"
1861,NOTTINGHAMSHIRE,Male,farmer  acres employing  labourer and  boy,173,61110,1,61110,"FARMER, GRAZIER",General Farmer,,boy farmer acres employing labourer and,agricultural,0.787080751280796,False,multiple_occupation_excluded_from_llm_check,[],True,"[[61110, np.float32(0.5079441), 'General Farmer']]; [[54090, np.float32(0.38293788), 'Other Maids and Related Housekeeping Service Workers'], [59990, np.float32(0.6457825), 'Other Service Workers Not Elsewhere Classified']]",2,"[{'hisco': ""[[61110, np.float32(0.5079441), 'General Farmer']]"", 'split_index': 0, 'occupation': 'farmer acres labourer'}, {'hisco': ""[[54090, np.float32(0.38293788), 'Other Maids and Related Housekeeping Service Workers'], [59990, np.float32(0.6457825), 'Other Service Workers Not Elsewhere Classified']]"", 'split_index': 1, 'occupation': 'boy'}]"
1861,NORTHUMBERLAND,Male,miller and inn keeper,686,77100,1,77120,CORN MILLERS,Grain Miller,,miller and inn keeper,food_drink,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,"[[61110, np.float32(0.22231346), 'General Farmer'], [77120, np.float32(0.3886177), 'Grain Miller'], [99910, np.float32(0.23601073), 'Labourer']]; [[51020, np.float32(0.9768039), 'Working Proprietor (Hotel and Restaurant)']]",2,"[{'hisco': ""[[61110, np.float32(0.22231346), 'General Farmer'], [77120, np.float32(0.3886177), 'Grain Miller'], [99910, np.float32(0.23601073), 'Labourer']]"", 'split_index': 0, 'occupation': 'miller'}, {'hisco': ""[[51020, np.float32(0.9768039), 'Working Proprietor (Hotel and Restaurant)']]"", 'split_index': 1, 'occupation': 'inn keeper'}]"
