County,Sex,Occode,final_result,Count,Year,Occupation_String,HISCO_x,HISCO_y,Occode_Desc,HISCO_Desc,complexity,standardized,category,confidence,needs_llm_check,confidence_reason,invalid_words,is_multiple_occupation,standardized_llm,OccCANINE_Check
ANGLESEY,Female,181,formerly farmer servant,2,1861,formerly farmers servant,62110,62120,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED",Farm Servant,,formerly farmer servant,agricultural,0.8010048759928248,False,acceptable_quality,[],False,,"[[54020, np.float32(0.9154891), 'House Servant']]"
ANGLESEY,Female,198,collier,1,1861,collier,71120,71105,COAL MINERS - OTHERS BELOW GROUND & UNDEFINED,"Miner, General",,collier,other,0.9,False,acceptable_quality,[],False,,"[[54090, np.float32(0.24245356), 'Other Maids and Related Housekeeping Service Workers'], [98590, np.float32(0.73499894), 'Other MotorVehicle Drivers']]"
ANGLESEY,Male,130,railway pointman,1,1861,railway pointman,98430,98430,"POINTSMAN, LEVEL CROSSING MAN, GATEKEEPERS",Railway Signaller,,railway pointman,other,0.9,False,acceptable_quality,[],False,,"[[98430, np.float32(0.97449726), 'Railway Signaller']]"
ANGLESEY,Male,173,boy farmer acres employing men,1,1861,farmer  acres employing  men  boy,61110,61110,"FARMER, GRAZIER",General Farmer,,boy farmer acres employing men,agricultural,0.8669441645896738,False,acceptable_quality,[],False,,"[[61110, np.float32(0.9925776), 'General Farmer']]"
ANGLESEY,Male,720,hostler at an hotel,1,1861,hostler at an hotel,59990,54090,HOTEL PORTERS BOOTS KNIFEMEN PLATEMEN PLATE CLEANERS POLISHERS (NON-RESIDENT),Other Maids and Related Housekeeping Service Workers,,hostler at an hotel,other,0.9,False,acceptable_quality,[],False,,"[[59990, np.float32(0.88952595), 'Other Service Workers Not Elsewhere Classified']]"
ANGLESEY,Male,778,annuitant,1,1861,annuitant,99999,99999,PRIVATE MEANS,Unspecified worktitle or several titles,,annuitant,other,0.9,False,acceptable_quality,[],False,,"[[54090, np.float32(0.6545652), 'Other Maids and Related Housekeeping Service Workers']]"
BEDFORDSHIRE,Female,772,houses and land,1,1861,houses and land,99999,99999,RETIRED (NOT ARMY OR NAVY),Unspecified worktitle or several titles,,houses and land,other,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,,"[[44330, np.float32(0.94029385), 'Appraiser']]"
BEDFORDSHIRE,Male,145,boy victualler from emp man,1,1861,victualler from  emp  man  boy,98550,97130,"VAN, ETC.---GUARD, BOY",Railway and Road Vehicle Loader,,boy victualler from emp man,other,0.8632962987432597,False,acceptable_quality,[],False,,"[[59990, np.float32(0.65822554), 'Other Service Workers Not Elsewhere Classified']]"
BEDFORDSHIRE,Male,173,farmer employing acres,1,1861,farmer employing  acres,61110,61110,"FARMER, GRAZIER",General Farmer,,farmer employing acres,agricultural,0.8882040123900088,False,acceptable_quality,[],False,,"[[61110, np.float32(0.93968475), 'General Farmer']]"
BEDFORDSHIRE,Male,714,market gardiner beer retailer,1,1861,market gardiner  beer retailer,51050,51050,BEERSELLERS,"Working Proprietor  (Cafe, Bar and Snack Bar)",,market gardiner beer retailer,other,0.8910390395989597,False,acceptable_quality,[],False,,[]
BERKSHIRE,Male,771,machinist,9,1861,machinist,83400,83410,MACHINISTS MACHINE WORKERS UNDEFINED,"MachineTool Operator, General",,machinist,metalwork_engineering,0.9,False,acceptable_quality,[],False,,"[[74990, np.float32(0.7803718), 'Other Chemical Processors and Related Workers']]"
BERKSHIRE,Female,84,pauper domestic servant,1,1861,pauper formerly domestic servant,54020,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,,pauper domestic servant,domestic_service,0.7306795067747539,False,acceptable_quality,[],False,,"[[54020, np.float32(0.9533305), 'House Servant']]"
