Year,County,Sex,Occupation_String,Occode,HISCO_x,Count,HISCO_y,Occode_Desc,HISCO_Desc,complexity,standardized,category,confidence,needs_llm_check,confidence_reason,invalid_words,is_multiple_occupation,final_result
1861,MONTGOMERYSHIRE,Male,serv,84,54020,3,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,,domestic servant,domestic_service,0.2623394771036252,True,very_low_confidence,[],False,domestic servant
1861,LANCASHIRE,Female,pillo,999,-1,1,0,,,simple,pillo,other,0.27,True,unchanged_with_many_invalid_words,['pillo'],False,pillo
1861,LANCASHIRE,Male,asst peicer,16,19100,1,19120,LIBRARIANS,Librarian,,asst peicer,other,0.27,True,unchanged_with_many_invalid_words,"['asst', 'peicer']",False,asst peicer
1861,LANCASHIRE,Male,landagent,116,44330,1,44320,AUCTIONEERS APPRAISERS VALUERS HOUSE AGENTS,Auctioneer,simple,landagent,professional_clerical,0.27,True,unchanged_with_many_invalid_words,['landagent'],False,landagent
1861,LANCASHIRE,Male,draugtsman,437,81120,1,81120,CABINET MAKERS,Cabinetmaker,simple,draugtsman,other,0.27,True,unchanged_with_many_invalid_words,['draugtsman'],False,draugtsman
1861,YORKSHIRE WEST RIDING,Male,formley wollen weaver,561,75200,1,75250,WOOL WINDERS WOOL WARPERS WOOL WEAVERS,Winder,moderate,formley wollen weaver,textile_manufacture,0.27,True,unchanged_with_many_invalid_words,"['formley', 'wollen']",False,formley wollen weaver
1861,YORKSHIRE WEST RIDING,Female,fundholde,765,99130,1,99910,GENERAL LABOURERS,Labourer,simple,fundholde,other,0.27,True,unchanged_with_many_invalid_words,['fundholde'],False,fundholde
1861,LANCASHIRE,Male,droughman,278,84190,1,84190,ENGINE AND MACHINE MAKERS (UNDEFINED - NOT TEXTILE),Other Machinery Fitters and Machine Assemblers,simple,droughman,other,0.27,True,unchanged_with_many_invalid_words,['droughman'],False,droughman
1861,STAFFORDSHIRE,Male,laboruer at hoyes,329,83890,1,83990,IRON CLASP BUCKLE HINGE MAKERS,"Other Blacksmiths, Toolmakers and MachineTool Operators Not Elsewhere Classified",,laboruer at hoyes,other,0.27,True,unchanged_with_many_invalid_words,"['laboruer', 'hoyes']",False,laborer at hoyes
1861,LONDON,Female,shoringwife,789,99999,1,99999,WIVES ASSISTING GENERALLY IN THEIR HUSBANDS OCCUPATIONS (WIFE OF à),Unspecified worktitle or several titles,simple,shoringwife,other,0.27,True,unchanged_with_many_invalid_words,['shoringwife'],False,shoringwife
1861,LONDON,Male,sertonchapel,426,87130,1,87120,GASFITTER,Gas Pipe Fitter,simple,sertonchapel,other,0.27,True,unchanged_with_many_invalid_words,['sertonchapel'],False,sertonchapel
1861,STAFFORDSHIRE,Male,hackenneths,999,-1,1,0,,,,hackenneths,other,0.27,True,unchanged_with_many_invalid_words,['hackenneths'],False,hackenneths
1861,LONDON,Male,seactton,999,-1,1,0,,,,seactton,other,0.27,True,unchanged_with_many_invalid_words,['seactton'],False,seactton
1861,LONDON,Female,politioner,454,81990,1,95490,"LATH, WOODEN FENCE, HURDLE-MAKER","Other Carpenters, Joiners and Parquetry Workers",simple,politioner,other,0.27,True,unchanged_with_many_invalid_words,['politioner'],False,politioner
1861,OXFORDSHIRE,Male,navie,432,97490,1,97415,RAILWAY LABOURERS NAVVIES (CONTRACTORS LABOURERS) DEFAULT,Excavator (Hand Tools),simple,navie,other,0.27,True,unchanged_with_many_invalid_words,['navie'],False,navie
1861,BUCKINGHAMSHIRE,Female,knitster,601,75400,1,75500,KNITTER (UNDEFINED),"Knitter, Specialisation Unknown",simple,knitster,other,0.27,True,unchanged_with_many_invalid_words,['knitster'],False,knitster
1861,KENT,Male,marone enfmark,999,-1,1,0,,,,marone enfmark,other,0.27,True,unchanged_with_many_invalid_words,"['marone', 'enfmark']",False,marone enfmark
1861,NORFOLK,Male,ordnary,181,62110,1,62120,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED",Farm Servant,simple,ordnary,other,0.27,True,unchanged_with_many_invalid_words,['ordnary'],False,ordnary
1861,MIDDLESEX,Female,anniuties,370,41010,2,41025,GENERAL HOUSEHOLD APPLIANCE DEALERS,Working Proprietor (Wholesale or Retail Trade),simple,anniuties,other,0.27,True,unchanged_with_many_invalid_words,['anniuties'],False,anniuties
1861,BRECKNOCKSHIRE,Female,instructeress,54,13990,2,13990,SCHOOL SERVICE (PUPIL TEACHERS),Other Teachers,,instructeress,other,0.27,True,unchanged_with_many_invalid_words,['instructeress'],False,instructeress
1861,ROYAL NAVY AT SEA AND IN POR,Male,s,999,-1,62,0,,,simple,s,agricultural,0.27,True,unchanged_with_many_invalid_words,['s'],False,s
1861,DURHAM,Male,seamanmerchant,541,3100,1,92240,MAP MAKERS,Offset Pressman,simple,seamanmerchant,transport_communication,0.27,True,unchanged_with_many_invalid_words,['seamanmerchant'],False,seamanmerchant
1861,ISLANDS IN THE BRITISH SEAS,Male,capt h m indian service,8,20200,1,20210,SENIOR OFFIALS AND OTHERS IN EAST INDIA SERVICE,Government Administrator,,capt h m indian service,other,0.27,True,unchanged_with_many_invalid_words,"['capt', 'h', 'm']",False,captain h m indian service
1861,ESSEX,Male,poultorer,685,41010,3,77940,FISHMONGERS,Fish Butcher,,poultorer,other,0.27,True,unchanged_with_many_invalid_words,['poultorer'],False,poultorer
1861,HUNTINGDONSHIRE,Male,draperagent,260,72400,1,72420,BRASS FOUNDERS,Metal Pourer,simple,draperagent,professional_clerical,0.27,True,unchanged_with_many_invalid_words,['draperagent'],False,draperagent
1861,KENT,Male,m k c s ed l a c,27,58420,1,58340,MEN OF THE MARINES,Other Military Ranks,,m k c s ed l a c,other,0.27,True,unchanged_with_many_invalid_words,"['m', 'k', 'c', 's', 'l', 'a', 'c']",False,marine
1861,GLOUCESTERSHIRE,Male,farmers son unemployed,175,62113,1,62110,"FARMER'S, GRAZIER'S--SON, DAUGHTER, OR OTHER RELATIVE ASSISTING IN THE WORK OF THE FARM","FarmHelper, General",,farmer son,family_dependent,0.4345026691776554,True,low_confidence,[],False,farmers son
1861,LINCOLNSHIRE,Male,ship,160,98120,1,98100,BOATMEN ON SEAS (SEAMEN GENERAL),"Ships’ Deck Rating, Barge Crew or Boatman, Specialisation Unknown",simple,shipwright,crafts_trades,0.4697101999138851,True,low_confidence,[],False,shipwright
1861,LANCASHIRE,Male,brickseller lab,408,97410,1,97415,BUILDERS' EXCAVATORS,Excavator (Hand Tools),,brickseller labourer,general_labour,0.5307649835917669,True,modification_poor_result,['brickseller'],False,brickseller labourer
1861,LANCASHIRE,Male,post friner,2,37020,1,37010,OTHER POST OFFICE OFFICERS AND CLERKS,"Mail Distribution Clerk, General",,postboy friner,transport_communication,0.5318788117066445,True,modification_poor_result,['friner'],False,postboy friner
1861,HERTFORDSHIRE,Female,seller,113,43090,1,42220,SALESMEN AND BUYERS (NOT OTHERWISE DESCRIBED),Buyer,simple,beerseller,food_drink,0.5340742142961542,True,modification_poor_result,['beerseller'],False,beerseller
1861,YORKSHIRE WEST RIDING,Female,retired milk seller,677,61260,1,45220,"COWKEEPERS, MILKSELLERS",Street Vendor,,retired milkseller,unemployed_seeking,0.5359851827054686,True,modification_poor_result,['milkseller'],False,retired milkseller
