record_id,original_hisco,enhanced_input,original_occupation,sex,county,count
0,62110,Female formerly farmer servant in Anglesey,formerly farmer servant,Female,ANGLESEY,2
1,71120,Female collier in Anglesey,collier,Female,ANGLESEY,1
2,98430,Male railway pointman in Anglesey,railway pointman,Male,ANGLESEY,1
3,61110,Male boy farmer acres employing men in Anglesey,boy farmer acres employing men,Male,ANGLESEY,1
4,59990,Male hostler at an hotel in Anglesey,hostler at an hotel,Male,ANGLESEY,1
5,99999,Male annuitant in Anglesey,annuitant,Male,ANGLESEY,1
6,99999,Female houses and land in Bedfordshire,houses and land,Female,BEDFORDSHIRE,1
7,98550,Male boy victualler from emp man in Bedfordshire,boy victualler from emp man,Male,BEDFORDSHIRE,1
8,61110,Male farmer employing acres in Bedfordshire,farmer employing acres,Male,BEDFORDSHIRE,1
9,51050,Male market gardiner beer retailer in Bedfordshire,market gardiner beer retailer,Male,BEDFORDSHIRE,1
10,83400,Male machinist in Berkshire,machinist,Male,BERKSHIRE,9
11,54020,Female pauper domestic servant in Berkshire,pauper domestic servant,Female,BERKSHIRE,1
12,95410,Male late almswoman carpenter in Berkshire,late almswoman carpenter,Male,BERKSHIRE,1
13,41010,Male chemists druggist in Berkshire,chemists druggist,Male,BERKSHIRE,1
14,75600,Male linen draper assistants in Berkshire,linen draper assistants,Male,BERKSHIRE,1
15,79930,Male mole stick maker in Berkshire,mole stick maker,Male,BERKSHIRE,1
16,33130,Male bankers clerk in Brecknockshire,bankers clerk,Male,BRECKNOCKSHIRE,4
17,13990,Female instructeress in Brecknockshire,instructeress,Female,BRECKNOCKSHIRE,2
18,62113,Female farmer of acres widow in Brecknockshire,farmer of acres widow,Female,BRECKNOCKSHIRE,1
19,71120,Female iron miner in Brecknockshire,iron miner,Female,BRECKNOCKSHIRE,1
20,61110,Male farmer of acres employing man in Brecknockshire,farmer of acres employing man,Male,BRECKNOCKSHIRE,1
21,99999,Male coal miner wife in Brecknockshire,coal miner wife,Male,BRECKNOCKSHIRE,1
22,52030,Male engineers servant in British Ships In Home Ports,engineers servant,Male,BRITISH SHIPS IN HOME PORTS,65
23,79130,Male dressmaker in Buckinghamshire,dressmaker,Male,BUCKINGHAMSHIRE,11
24,41010,Male caner in Buckinghamshire,caner,Male,BUCKINGHAMSHIRE,6
25,75400,Female knitster in Buckinghamshire,knitster,Female,BUCKINGHAMSHIRE,1
26,99999,Female domestic brewers wife in Buckinghamshire,domestic brewers wife,Female,BUCKINGHAMSHIRE,1
27,31090,Male relieving officer registrar in Buckinghamshire,relieving officer registrar,Male,BUCKINGHAMSHIRE,1
28,15100,Male author in Buckinghamshire,author,Male,BUCKINGHAMSHIRE,1
29,98200,Male marine store in Buckinghamshire,marine store,Male,BUCKINGHAMSHIRE,1
30,77100,Male miller in Buckinghamshire,miller,Male,BUCKINGHAMSHIRE,1
31,51020,Male inn keeper and butcher in Buckinghamshire,inn keeper and butcher,Male,BUCKINGHAMSHIRE,1
32,99999,Male pauper labourer in Buckinghamshire,pauper labourer,Male,BUCKINGHAMSHIRE,1
33,53101,Male cook in Cambridgeshire,cook,Male,CAMBRIDGESHIRE,32
34,51040,Female late lodging house keeper in Cambridgeshire,late lodging house keeper,Female,CAMBRIDGESHIRE,2
35,7110,Female pharmacy nurse in Cambridgeshire,pharmacy nurse,Female,CAMBRIDGESHIRE,1
36,54020,Female college servant in Cambridgeshire,college servant,Female,CAMBRIDGESHIRE,1
37,99999,Female omitted in no module in Cambridgeshire,omitted in no module,Female,CAMBRIDGESHIRE,1
38,52030,Male late land steward in Cambridgeshire,late land steward,Male,CAMBRIDGESHIRE,1
39,61110,Male farmer acres man boys in Cambridgeshire,farmer acres man boys,Male,CAMBRIDGESHIRE,1
40,61110,Male publican farmer of acres in Cambridgeshire,publican farmer of acres,Male,CAMBRIDGESHIRE,1
41,62110,Male agricultural labourer in Cambridgeshire,agricultural labourer,Male,CAMBRIDGESHIRE,1
42,3200,Male assistant hasler employing in Cambridgeshire,assistant hasler employing,Male,CAMBRIDGESHIRE,1
43,21230,Male victualler and door builder in Cambridgeshire,victualler and door builder,Male,CAMBRIDGESHIRE,1
44,41010,Male linen and woollen draper in Cambridgeshire,linen and woollen draper,Male,CAMBRIDGESHIRE,1
45,80100,Male boot maker employing men woman in Cambridgeshire,boot maker employing men woman,Male,CAMBRIDGESHIRE,1
46,41010,Male flour dealer in Cambridgeshire,flour dealer,Male,CAMBRIDGESHIRE,1
47,62110,Male farm servant in Cardiganshire,farm servant,Male,CARDIGANSHIRE,510
48,41010,Male merchant in Cardiganshire,merchant,Male,CARDIGANSHIRE,14
49,83400,Female formarly agricultural labourer deceased in Cardiganshire,formarly agricultural labourer deceased,Female,CARDIGANSHIRE,1
50,61110,Male farmer acres bailiff farm in Cardiganshire,farmer acres bailiff farm,Male,CARDIGANSHIRE,1
51,41010,Male master linen and woollen draper in Cardiganshire,master linen and woollen draper,Male,CARDIGANSHIRE,1
52,24100,Male railway officer in Carmarthenshire,railway officer,Male,CARMARTHENSHIRE,9
53,99999,Female clogs a wooden thorn man wife in Carmarthenshire,clogs a wooden thorn man wife,Female,CARMARTHENSHIRE,1
54,61110,Male farmer of acres employing boys in Carmarthenshire,farmer of acres employing boys,Male,CARMARTHENSHIRE,1
55,61110,Male holder of acres employing labourer in Carmarthenshire,holder of acres employing labourer,Male,CARMARTHENSHIRE,1
56,99999,Female parish officer daughter in Carnarvonshire,parish officer daughter,Female,CARNARVONSHIRE,2
57,62110,Male servant on farm in Carnarvonshire,servant on farm,Male,CARNARVONSHIRE,2
58,16150,Female brick maker wife in Carnarvonshire,brick maker wife,Female,CARNARVONSHIRE,1
59,53101,Female formerly a domestic cook in Carnarvonshire,formerly a domestic cook,Female,CARNARVONSHIRE,1
60,99999,Female publican keeping a tavern in Carnarvonshire,publican keeping a tavern,Female,CARNARVONSHIRE,1
61,61110,Male farmer of acres and joiner in Carnarvonshire,farmer of acres and joiner,Male,CARNARVONSHIRE,1
62,61400,Male bailiff farm acres employing men in Carnarvonshire,bailiff farm acres employing men,Male,CARNARVONSHIRE,1
63,99999,Female locomotive engine drivers wife in Cheshire,locomotive engine drivers wife,Female,CHESHIRE,4
64,-1,Female drawing in Cheshire,drawing,Female,CHESHIRE,2
65,75200,Male twister at cotton miller in Cheshire,twister at cotton miller,Male,CHESHIRE,2
66,43010,Female stock exchange in Cheshire,stock exchange,Female,CHESHIRE,1
67,92800,Female maker up of prints in Cheshire,maker up of prints,Female,CHESHIRE,1
68,99999,Female silk and scholar in Cheshire,silk and scholar,Female,CHESHIRE,1
69,37020,Male clark in general carriers office in Cheshire,clark in general carriers office,Male,CHESHIRE,1
70,12900,Male apprentice over looker of in Cheshire,apprentice over looker of,Male,CHESHIRE,1
71,19990,Male agent on commission in Cheshire,agent on commission,Male,CHESHIRE,1
72,98520,Male coachman and domestic servant in Cheshire,coachman and domestic servant,Male,CHESHIRE,1
73,64990,Male hall keeper in Cheshire,hall keeper,Male,CHESHIRE,1
74,56000,Male laundry service in Cheshire,laundry service,Male,CHESHIRE,1
75,39310,Male clerk for auctioneer in Cheshire,clerk for auctioneer,Male,CHESHIRE,1
76,37040,Male porter to grocer in Cheshire,porter to grocer,Male,CHESHIRE,1
77,61110,Male upholsterer employing men boys women in Cheshire,upholsterer employing men boys women,Male,CHESHIRE,1
78,61400,Male farm bailiff in Cheshire,farm bailiff,Male,CHESHIRE,1
79,61400,Male farm bailiff of acres in Cheshire,farm bailiff of acres,Male,CHESHIRE,1
80,81300,Male master coachmaker in Cheshire,master coachmaker,Male,CHESHIRE,1
81,83890,Male fitter and pattern maker in Cheshire,fitter and pattern maker,Male,CHESHIRE,1
82,89300,Male labourer for brick makers in Cheshire,labourer for brick makers,Male,CHESHIRE,1
83,41010,Male chemist in Cheshire,chemist,Male,CHESHIRE,1
84,75200,Male hand cotton reeler in Cheshire,hand cotton reeler,Male,CHESHIRE,1
85,75000,Male silk factory manager in Cheshire,silk factory manager,Male,CHESHIRE,1
86,75600,Male late royal dresser in Cheshire,late royal dresser,Male,CHESHIRE,1
87,99150,Male barhouse apprentice in Cheshire,barhouse apprentice,Male,CHESHIRE,1
88,79120,Female tailor in Cornwall,tailor,Female,CORNWALL,1007
89,62110,Male boy agricultural labourer in Cornwall,boy agricultural labourer,Male,CORNWALL,8
90,64990,Female innkeeper in Cornwall,innkeeper,Female,CORNWALL,5
91,99130,Female draper in Cornwall,draper,Female,CORNWALL,2
92,54020,Female occupying house maid in Cornwall,occupying house maid,Female,CORNWALL,1
93,71120,Female draper labourer in a copper miner in Cornwall,draper labourer in a copper miner,Female,CORNWALL,1
94,99999,Female leaseholders wife in Cornwall,leaseholders wife,Female,CORNWALL,1
95,99999,Female china clay agents daughter in Cornwall,china clay agents daughter,Female,CORNWALL,1
96,14120,Male st miner axillary in Cornwall,st miner axillary,Male,CORNWALL,1
97,6200,Male surgeon dentist in Cornwall,surgeon dentist,Male,CORNWALL,1
98,33130,Male agent to bank postmaster stationer in Cornwall,agent to bank postmaster stationer,Male,CORNWALL,1
99,61110,Male boy farmer of acres employing in Cornwall,boy farmer of acres employing,Male,CORNWALL,1
100,61110,Male farmer acres and in Cornwall,farmer acres and,Male,CORNWALL,1
101,61110,Male farmer acres labourer in Cornwall,farmer acres labourer,Male,CORNWALL,1
102,62110,Male agricultural labourer in Cornwall,agricultural labourer,Male,CORNWALL,1
103,62110,Male formerly farmer servant in Cornwall,formerly farmer servant,Male,CORNWALL,1
104,21140,Male bargeman owner of vessels in Cornwall,bargeman owner of vessels,Male,CORNWALL,1
105,80100,Male journeyman boot and shoe maker in Cornwall,journeyman boot and shoe maker,Male,CORNWALL,1
106,54020,Female servant in Cumberland,servant,Female,CUMBERLAND,1214
107,99999,Female farmer daughter in Cumberland,farmer daughter,Female,CUMBERLAND,4
108,7110,Female late buck nurse in Cumberland,late buck nurse,Female,CUMBERLAND,1
109,51020,Female hotel in Cumberland,hotel,Female,CUMBERLAND,1
110,51020,Female retired publican owner of house property in Cumberland,retired publican owner of house property,Female,CUMBERLAND,1
111,99999,Female engine wife in Cumberland,engine wife,Female,CUMBERLAND,1
112,55100,Male maker and parish clerk in Cumberland,maker and parish clerk,Male,CUMBERLAND,1
113,59990,Male boiler maker in Cumberland,boiler maker,Male,CUMBERLAND,1
114,61110,Male farmer of acres cordwainer in Cumberland,farmer of acres cordwainer,Male,CUMBERLAND,1
115,87530,Male shipwright in Cumberland,shipwright,Male,CUMBERLAND,1
116,84110,Male teacher in Cumberland,teacher,Male,CUMBERLAND,1
117,79320,Female milliner in Denbighshire,milliner,Female,DENBIGHSHIRE,119
118,13200,Male master national school in Denbighshire,master national school,Male,DENBIGHSHIRE,9
119,41010,Male merchant in Denbighshire,merchant,Male,DENBIGHSHIRE,3
120,89300,Male silk manufacture in Denbighshire,silk manufacture,Male,DENBIGHSHIRE,2
121,99999,Male magistrate in Denbighshire,magistrate,Male,DENBIGHSHIRE,2
122,54010,Female servant daughter in Denbighshire,servant daughter,Female,DENBIGHSHIRE,1
123,99999,Female day labourer carters wife in Denbighshire,day labourer carters wife,Female,DENBIGHSHIRE,1
124,61110,Male farmer of acres employing agricultural labourer in Denbighshire,farmer of acres employing agricultural labourer,Male,DENBIGHSHIRE,1
125,71130,Male apprentice quarryman in Denbighshire,apprentice quarryman,Male,DENBIGHSHIRE,1
126,99999,Male agricultural labourer son in Denbighshire,agricultural labourer son,Male,DENBIGHSHIRE,1
127,99999,Male pauper in Derbyshire,pauper,Male,DERBYSHIRE,28
128,41010,Male grocer in Derbyshire,grocer,Male,DERBYSHIRE,6
129,6200,Male dentist in Derbyshire,dentist,Male,DERBYSHIRE,5
130,99999,Female coal labourer wife in Derbyshire,coal labourer wife,Female,DERBYSHIRE,2
131,61110,Male farmer acres in Derbyshire,farmer acres,Male,DERBYSHIRE,2
132,17120,Female piano player in Derbyshire,piano player,Female,DERBYSHIRE,1
133,62110,Female farm servant in Derbyshire,farm servant,Female,DERBYSHIRE,1
134,75200,Female day cotton piecer day school in Derbyshire,day cotton piecer day school,Female,DERBYSHIRE,1
135,75000,Female keeper at cotton factory in Derbyshire,keeper at cotton factory,Female,DERBYSHIRE,1
136,97190,Male labourer at coal works in Derbyshire,labourer at coal works,Male,DERBYSHIRE,1
137,37040,Male night watch in Derbyshire,night watch,Male,DERBYSHIRE,1
138,84120,Male late millwright in Derbyshire,late millwright,Male,DERBYSHIRE,1
139,95110,Male assistant mason in Derbyshire,assistant mason,Male,DERBYSHIRE,1
140,21220,Male magistrate for the derbyshire bureau in Derbyshire,magistrate for the derbyshire bureau,Male,DERBYSHIRE,1
141,92110,Male back tenter of printer machine in Derbyshire,back tenter of printer machine,Male,DERBYSHIRE,1
142,58410,Male pensioner chemical labourer in Derbyshire,pensioner chemical labourer,Male,DERBYSHIRE,1
143,21290,Male road contractor in Devon,road contractor,Male,DEVON,35
144,58430,Male corporal in Devon,corporal,Male,DEVON,24
145,99999,Female ministers daughter in Devon,ministers daughter,Female,DEVON,3
146,41010,Male farm servant in Devon,farm servant,Male,DEVON,3
147,61400,Male farm superintendent in Devon,farm superintendent,Male,DEVON,2
148,62110,Male farm servant in Devon,farm servant,Male,DEVON,2
149,21230,Male retired builder in Devon,retired builder,Male,DEVON,2
150,76140,Male fellmongers labourer in Devon,fellmongers labourer,Male,DEVON,2
151,58410,Male pensioner out of greenwich in Devon,pensioner out of greenwich,Male,DEVON,2
152,54020,Female domestic servant in Devon,domestic servant,Female,DEVON,1
153,61400,Female retired farm bailiff in Devon,retired farm bailiff,Female,DEVON,1
154,93120,Female house hooker in Devon,house hooker,Female,DEVON,1
155,99999,Female farm laborer wife in Devon,farm laborer wife,Female,DEVON,1
156,99999,Female at home daughter in Devon,at home daughter,Female,DEVON,1
157,99999,Female from son in Devon,from son,Female,DEVON,1
158,43010,Male agent shipwright broker in Devon,agent shipwright broker,Male,DEVON,1
159,33130,Male clerk cornwall bank in Devon,clerk cornwall bank,Male,DEVON,1
160,97120,Male smith hw dock yard in Devon,smith hw dock yard,Male,DEVON,1
161,61110,Male butter factor farmer of acres employing m in Devon,butter factor farmer of acres employing m,Male,DEVON,1
162,61110,Male farmer land proprietor of acres employin in Devon,farmer land proprietor of acres employin,Male,DEVON,1
163,61400,Male cooccupier of farm in Devon,cooccupier of farm,Male,DEVON,1
164,21230,Male apprentice builder employing man in Devon,apprentice builder employing man,Male,DEVON,1
165,80320,Male master saddler in Devon,master saddler,Male,DEVON,1
166,77310,Male butcher in Devon,butcher,Male,DEVON,1
167,51040,Male coffee house keeper labourer in Devon,coffee house keeper labourer,Male,DEVON,1
168,99999,Male lady door in Devon,lady door,Male,DEVON,1
169,54020,Male retired servant in Dorset,retired servant,Male,DORSET,9
170,54020,Female house servant in Dorset,house servant,Female,DORSET,7
171,94990,Female brading nets in Dorset,brading nets,Female,DORSET,3
172,61260,Female milkwoman in Dorset,milkwoman,Female,DORSET,3
173,99999,Female sawyer wife in Dorset,sawyer wife,Female,DORSET,2
174,61110,Female farm of acres employ labourer in Dorset,farm of acres employ labourer,Female,DORSET,1
175,58430,Male commission boatman coast guard in Dorset,commission boatman coast guard,Male,DORSET,1
176,61110,Male farmer acres employing men and boys in Dorset,farmer acres employing men and boys,Male,DORSET,1
177,61110,Male farmer acres employing men boys in Dorset,farmer acres employing men boys,Male,DORSET,1
178,61110,Male maltster occupying of acres in Dorset,maltster occupying of acres,Male,DORSET,1
179,62110,Male servant on farm in Dorset,servant on farm,Male,DORSET,1
180,93120,Male retired painter glazier in Dorset,retired painter glazier,Male,DORSET,1
181,75700,Male tinker in Dorset,tinker,Male,DORSET,1
182,99999,Male pensioner chilsey in Dorset,pensioner chilsey,Male,DORSET,1
183,99999,Female seaman daughter in Durham,seaman daughter,Female,DURHAM,8
